Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	481.79327	18.403194	511.16583	461.09818	8.729559	0.14422573	8.954681	8.422977	146.09894	211.34836	500.62268	8.433237	8.737058	0.089815445	8.889714	8.621273	1000.0	20.0	314.0	20.0	3999	11.408628	5.7262473	27.835367	-0.06418697	11.409056	5.7254786	27.785563	-0.04266507	-5.3963494	0.5059028	2.110404	-11.567668	-12.483344	0.0641967	47.37257218360901
2	414.94977	128.70839	503.9646	192.87532	284.29837	47.43595	387.04242	218.57785	254.89261	49.175632	329.99942	158.59923	236.28256	44.444763	335.70096	185.27937	857.5	955.2	1000.0	949.1	7999	33.883514	7.2268267	69.70419	16.371717	33.883564	7.2267942	69.80282	16.131397	-5.2621093	0.9148075	12.202551	-12.311391	-34.95924	0.34542677	147.4289207458496
3	299.8532	205.43253	493.50793	17.720055	366.0377	78.42013	534.8601	238.66641	363.76822	60.914253	504.29355	285.52304	367.64145	66.29298	529.9669	296.17154	640.0	1000.0	1000.0	1000.0	11999	57.050716	10.50561	210.02852	26.109203	57.05045	10.508472	212.81673	26.628664	-3.9806998	3.5360785	48.074696	-15.481874	-58.298923	3.268981	247.4593949317932
4	233.27089	154.424	393.83432	16.32875	121.28522	144.5802	486.9721	10.989625	184.13791	94.51455	315.51865	28.875513	92.63856	84.13343	297.30426	21.311182	671.6667	459.9	777.8	345.7	15999	86.31684	26.594757	389.12848	31.086086	86.31648	26.588438	365.81848	30.235912	-0.524489	4.974156	54.58918	-15.276557	-88.373764	11.983834	327.5257525444031
5	151.55269	155.07867	488.7611	9.1881275	430.65073	99.1815	599.60535	333.40308	405.43155	80.127525	539.7837	279.02805	403.2238	70.726616	567.5913	316.17642	331.7	1000.0	1000.0	1000.0	19999	120.5837	40.16211	430.84885	20.210629	120.58287	40.160084	465.8548	33.277054	0.36143935	4.2927566	36.220615	-15.052064	-122.717636	33.87397	432.5195972919464
6	428.9049	50.052036	512.23285	389.12134	377.14117	184.9378	500.0242	2.9079106	396.47885	159.84167	515.8808	31.13451	324.03387	195.58856	489.28003	5.4631877	1000.0	813.1	840.7	730.0	23999	154.05168	48.443222	417.3122	39.273193	154.0494	48.4338	435.2506	37.084293	1.539844	4.6338735	43.374344	-15.821413	-156.15181	38.075703	526.0479831695557
7	205.37682	224.40857	618.8449	2.7563877	422.4912	92.56743	553.20605	262.3148	369.457	140.39725	556.887	107.37143	494.2945	94.81355	708.5692	333.51486	489.77777	996.1	885.4	1000.0	27999	175.61131	50.815502	389.87753	8.342331	175.60999	50.81788	391.45868	28.439713	1.4800316	4.2515693	38.147053	-15.130701	-177.38284	35.525043	633.5474638938904
8	439.53638	75.74609	562.9575	376.56686	518.69714	59.075615	632.647	409.37	541.36865	103.82365	689.5929	352.93784	523.0077	93.06305	662.9077	315.1594	1000.0	1000.0	1000.0	1000.0	31999	187.33562	44.15365	372.15765	4.981915	187.33452	44.153347	366.25043	-2.832506	1.6342381	4.2632394	36.647827	-16.018522	-189.0505	32.26889	742.617683172226
9	410.90216	70.12067	496.28	301.82513	541.5429	93.60575	688.19574	382.32663	567.55444	115.51049	718.5207	355.9444	538.05365	142.66602	720.2428	261.52795	1000.0	1000.0	1000.0	1000.0	35999	188.92049	36.529892	335.51266	-3.4188812	188.92136	36.53492	335.25476	-4.7057	0.1488919	4.2201405	27.70279	-17.115765	-190.15906	30.373629	842.5226669311523
10	272.68756	114.34985	442.2853	93.8228	321.02402	105.83128	603.47345	235.85677	309.05106	91.00379	454.20462	155.73622	407.17294	191.56528	672.465	87.20339	837.0	1000.0	1000.0	917.4	39999	182.04083	31.079037	300.38162	4.0435524	182.03964	31.071062	297.6484	0.31218743	-0.45326462	4.19418	27.108524	-15.09014	-183.18881	27.592665	941.5341944694519
