Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	388.59668	141.2116	509.7743	159.25676	492.1688	109.123344	582.5554	176.04231	461.5982	195.58376	663.7469	73.45643	419.74707	204.40105	655.6761	74.87736	827.75	921.8	836.5	771.0	3999	11.040197	5.622281	24.878048	0.010223599	11.039693	5.62311	24.715847	-0.08739273	-5.368983	0.58728254	3.8265724	-10.552541	-12.104411	0.1803061	99.98138737678528
2	389.42917	192.31334	504.96097	5.5687914	31.747797	2.9876738	37.398994	26.547874	185.54477	129.66592	362.49088	27.101799	74.92024	87.170044	254.60677	25.216427	804.2	94.8	642.4	277.6	7999	32.85638	6.9892473	67.21994	13.064011	32.856323	6.988741	67.54547	14.442361	-5.1630025	1.1537437	16.834635	-12.240398	-33.90954	0.5055122	193.83031582832336
3	392.33017	149.63078	513.6142	119.64725	360.90292	105.39421	545.41046	233.60587	310.42545	91.67018	456.5478	180.01352	390.2843	97.47826	560.23584	265.27298	849.8	1000.0	1000.0	1000.0	11999	55.53774	11.227838	194.36746	5.770859	55.53745	11.230503	202.1928	10.749061	-4.405655	2.9268124	27.713276	-13.105175	-56.699265	2.2305205	323.87440299987793
4	334.10315	104.9343	474.9043	201.84036	260.7919	61.11931	362.30148	194.61882	265.5152	42.44013	341.0072	205.26492	276.94296	10.51869	291.4304	255.78596	1000.0	1000.0	1000.0	1000.0	15999	83.26839	29.466091	226.8466	0.97205144	83.26836	29.466053	234.48212	0.7612299	-3.8925617	2.9728436	29.541325	-13.500223	-84.36589	3.0430157	453.505615234375
5	253.0171	166.9152	437.0098	4.0582337	444.31006	119.83542	750.57935	328.79984	455.46924	93.657196	667.5042	311.35037	409.02118	129.11281	555.94324	115.29665	685.5	1000.0	1000.0	919.9	19999	108.50812	32.724804	248.59224	0.20983839	108.50794	32.72454	238.23166	-1.3507582	-3.2080984	3.3851278	27.625965	-14.541528	-109.55761	4.913549	580.4597020149231
6	428.5264	63.110783	534.9217	369.9294	412.54205	22.207548	459.62613	378.52795	406.36334	31.713913	464.6262	368.9058	423.3204	24.645771	458.45166	377.74387	1000.0	1000.0	1000.0	1000.0	23999	119.04486	29.498137	249.06932	1.5169512	119.04438	29.494587	247.21338	4.6352816	-2.7948444	3.9374385	28.12941	-15.1238985	-120.129875	7.4351482	712.7963383197784
7	302.72272	177.13408	484.22354	1.0592285	387.10428	53.004642	518.8182	323.8174	397.38132	31.387793	450.16504	353.7074	422.44135	87.5731	601.5405	298.3214	762.2	1000.0	1000.0	1000.0	27999	135.26071	32.828186	252.82967	-0.50432074	135.26077	32.825165	247.98544	-3.4201233	-1.0665355	4.2003775	30.60338	-15.099085	-136.67418	10.213518	845.9255151748657
8	438.38312	89.71297	549.749	344.6532	454.92105	51.96168	553.05884	360.23886	465.6872	53.81669	579.82556	352.2094	446.273	55.131134	540.72626	373.93903	1000.0	1000.0	1000.0	1000.0	31999	145.49126	23.2105	235.6134	-3.368312	145.49184	23.208138	240.86823	-4.03739	-1.6898832	3.5488005	29.64283	-15.116337	-146.68475	12.008838	978.4520955085754
9	380.71143	77.50806	430.80994	246.60739	496.34586	73.32209	642.9761	380.86502	525.88763	77.04709	691.8073	441.09317	520.3543	77.567375	681.26495	428.92206	875.75	1000.0	1000.0	1000.0	35999	145.20354	21.53544	222.52246	-7.081288	145.20372	21.529686	224.43237	-1.5909494	-2.58681	3.3121297	25.141094	-18.06708	-146.1827	9.963681	1108.490130662918
10	412.19855	38.143147	454.97495	341.08148	455.3484	133.17516	753.3072	308.045	420.78857	129.35962	683.7069	257.7844	379.8039	54.978207	512.75415	327.85648	925.6	1000.0	1000.0	1000.0	39999	143.5454	19.464033	233.36603	-6.6315694	143.54515	19.461021	233.85385	-7.572957	-3.2456493	2.6966984	40.51198	-16.861593	-144.48671	12.298489	1237.8062109947205
