Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	3.0365837	3.3343377	15.476301	-7.4093175	14.029012	0.5941163	15.291589	13.179596	13.627507	1.9202715	15.828221	8.321788	13.915503	0.62222105	14.9736	12.831935	17.482456	20.5	20.3	20.5	3999	5.7266235	4.7134085	22.795925	-5.6507034	5.726607	4.7135854	23.080025	-5.6585975	-2.6069975	1.5278627	4.783885	-12.718087	-6.853368	0.3982768	42.16036534309387
2	2.6208575	3.3935897	14.466354	-9.259368	16.519527	0.4182634	17.217289	15.821236	16.737806	0.4086617	17.313156	15.948303	16.625866	0.40442637	17.143835	15.679882	17.363636	21.0	21.0	21.1	7999	12.263268	10.002158	44.696323	-7.35276	12.262978	10.002339	44.86523	-7.9946284	-0.97351354	2.1792734	10.88278	-15.596731	-14.231662	0.8382805	102.6017096042633
3	10.09062	31.810959	242.21315	-5.9165287	478.382	189.35542	667.8589	259.03537	502.07587	210.49078	680.422	153.9587	517.28516	185.78745	666.2696	182.30905	30.944	709.2	740.5	768.4	11999	22.462717	22.325123	90.73692	-6.149257	22.462648	22.324928	89.75402	-5.98641	0.85857624	3.2745621	18.99529	-14.95377	-26.533993	3.3574898	193.76126432418823
4	103.0728	102.43823	362.37054	-2.0871546	192.90227	181.31564	684.3991	78.6624	288.88013	257.4433	695.4345	84.64628	227.3093	179.88191	685.48364	78.094604	170.5	262.9	405.4	315.2	15999	38.07355	31.04427	101.138596	-10.384811	38.073105	31.043865	102.49922	-7.5351152	1.2669157	3.0516338	20.587158	-15.771194	-41.68122	9.598278	269.39207100868225
5	411.76672	153.02394	607.55707	213.40382	288.71945	103.65341	435.17874	131.15833	292.42853	177.58038	666.0972	125.02919	172.98984	51.87188	313.974	128.39963	704.8333	423.0	432.6	246.4	19999	45.58032	32.072235	96.6831	-9.727862	45.579796	32.07122	96.60909	-7.5823855	1.221552	3.0564733	25.212486	-13.079024	-48.494663	9.241697	346.42715311050415
6	220.4028	167.68135	626.30884	36.9779	635.3135	76.01261	686.29974	470.77457	557.45526	134.39359	685.8672	312.75098	626.73645	80.94465	683.15717	466.13364	398.125	930.5	811.9	919.8	23999	49.663074	31.178719	99.88533	-10.265564	49.662464	31.176815	99.257515	-7.2319927	0.8729175	2.8634613	21.591745	-13.4108	-52.105362	7.4745727	443.32126212120056
7	312.69882	177.07991	647.78796	144.01501	277.5708	155.5925	689.6505	151.58899	291.49945	156.11589	691.80505	138.95277	223.25012	76.48016	352.18692	152.22429	474.1	393.6	399.3	304.4	27999	53.3015	30.18826	100.47804	-12.198331	53.3012	30.186747	100.12366	-8.630661	0.42444766	2.6360302	19.285444	-15.587117	-55.23923	6.7445693	517.5494070053101
8	503.5091	173.39844	648.93	221.82593	291.75543	107.462234	422.54385	165.88838	418.61383	149.18706	715.2729	219.77638	224.20244	106.61565	446.04507	160.58604	783.2	409.8	607.2	311.0	31999	56.43746	29.637651	96.58224	-27.685085	56.43748	29.63553	94.77295	-28.603525	0.065027036	2.6395903	17.99603	-14.94846	-58.124023	5.6775165	598.2025947570801
9	376.19882	194.05682	650.3691	150.33746	214.40617	104.55456	391.75916	125.891884	159.17064	56.788742	326.34488	120.236565	243.3658	96.76142	381.68237	142.47766	592.5714	307.3	223.8	355.9	35999	59.6622	29.41279	94.686455	-19.772833	59.662037	29.410852	93.66049	-29.704302	-0.22448069	2.6453972	17.387892	-14.083717	-61.227318	6.484244	673.0334284305573
10	412.13257	227.20087	629.45575	64.961555	255.23665	91.30545	472.6613	185.2665	286.16916	113.1376	490.22055	157.6223	242.12996	74.98334	418.3318	174.47243	660.3333	466.6	538.3	427.8	39999	62.880676	28.81309	94.58611	-18.35142	62.88064	28.812075	93.118095	-26.92914	-0.36995932	2.7637336	17.398567	-12.481599	-64.366295	6.0293474	753.8929545879364
