Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	3.0490732	3.4959564	13.579342	-7.694862	16.767307	2.1568644	20.891853	13.822309	62.6869	139.26714	480.4574	12.921147	15.329702	1.2828707	17.094477	13.293377	17.526316	21.0	118.5	20.4	3999	6.061344	4.5942187	20.162436	-8.983008	6.0613127	4.5946493	20.240566	-9.312848	-2.6489727	1.5698807	11.972111	-13.078178	-7.2036724	0.5089942	59.70389175415039
2	3.0185049	3.5557575	13.717807	-7.7927666	15.301439	1.7392772	17.573933	13.049582	14.640139	1.3126043	16.95635	13.099599	14.274015	1.2952211	17.088089	12.418857	17.462883	21.5	21.4	21.3	7999	14.315331	10.380905	46.437714	-9.924758	14.3153	10.380519	46.616734	-11.143522	-0.5134924	2.2671704	11.185959	-13.894655	-16.417496	0.99973506	143.37790489196777
3	9.959772	22.657518	155.2869	-6.904077	2.499406	0.6398701	3.786871	1.4722654	208.53098	198.28926	550.09644	1.6644034	2.3721826	0.6927846	3.3477247	1.1667451	26.570469	20.4	369.9	20.3	11999	23.096624	21.28092	88.05889	-9.408763	23.09706	21.280523	87.23942	-8.511792	1.057001	3.2206748	14.665518	-14.326443	-26.865013	4.059274	224.75923895835876
4	235.91737	170.79202	617.40186	-10.348534	489.78558	148.7396	679.3287	239.66791	545.197	121.090935	668.9948	272.10214	453.05313	153.73189	680.57996	272.38586	396.8889	719.8	798.6	674.9	15999	32.80407	26.351702	83.00468	-8.240288	32.804	26.352133	83.1478	-8.645242	0.7310373	3.1302066	19.201027	-14.150087	-35.796234	8.860467	335.08530163764954
5	347.68335	160.18651	589.64636	165.15813	268.28412	115.32996	452.41678	178.20479	299.92368	156.89558	600.672	147.70052	287.4439	135.53636	533.4688	159.49832	594.0	369.6	424.1	391.1	19999	40.4411	27.646254	80.99597	-11.789571	40.441147	27.6452	84.540924	-9.388885	0.40239757	2.9233832	19.330772	-13.707937	-42.960728	6.7166896	428.59915828704834
6	591.59644	57.49262	661.4704	501.80667	307.50348	146.09079	654.8587	189.49438	368.29434	172.75255	630.97424	182.28891	344.857	160.47227	666.14667	211.08325	982.5	424.3	524.2	481.9	23999	45.55166	27.556814	81.67048	-8.179567	45.551674	27.55636	82.8531	-8.658246	0.18936266	2.8385787	19.950798	-12.796218	-47.630516	5.425332	524.1206328868866
7	432.1302	258.1014	668.6878	85.46023	339.65268	135.8804	692.7275	177.28912	331.8397	194.15219	698.4259	137.34503	344.68494	184.92061	695.10266	175.69414	677.4	495.1	465.5	492.1	27999	50.835827	27.398699	85.1173	-8.964461	50.836094	27.397295	85.11201	-7.1402636	0.039722662	2.7521648	17.621376	-12.8709755	-52.64357	4.4208117	620.1709153652191
8	649.8263	23.828379	680.05865	609.1439	556.0828	96.83057	696.1059	325.24872	529.9407	52.27734	593.79407	430.7527	515.12634	100.036964	695.5505	307.7288	992.6	921.9	910.7	853.5	31999	55.98865	27.381884	87.864174	-9.709848	55.988804	27.380112	87.89155	-9.296922	-0.17816937	2.781033	17.447199	-14.085366	-57.668163	4.2464247	733.698567867279
9	651.75464	22.289127	679.36694	620.7894	442.88812	182.32332	695.53015	175.06258	534.3104	199.2795	791.0103	197.23175	530.6043	139.98851	779.6051	211.41908	1000.0	672.2	798.3	803.5	35999	60.459503	27.588806	91.01048	-16.36383	60.458923	27.587688	91.45035	-8.315507	-0.42273343	2.7629285	20.31583	-13.443081	-62.041313	3.6405635	838.9846706390381
10	649.8553	14.878544	669.87067	633.04297	524.3485	131.13272	698.00165	333.9397	642.5006	70.96468	700.8207	511.79794	526.1382	127.57793	793.3041	397.86966	1000.0	714.9	883.0	695.6	39999	64.96574	27.798525	93.227905	-19.091318	64.96589	27.796978	92.75724	-13.134762	-0.6555722	2.782201	19.0574	-13.733124	-66.474724	3.3207054	942.7034065723419
