Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	19.870834	2.885116	29.216377	10.526066	44.170372	2.400727	49.02829	41.21671	45.36171	3.818103	52.359497	37.778706	17.01211	0.22402675	17.369936	16.700285	11.504323	33.0	33.6	5.0	3999	11.972906	7.70884	29.4889	-2.9654276	11.972308	7.7082877	29.848917	-2.9333396	-0.5281831	1.2309415	4.50062	-9.775411	-13.081881	0.7196631	53.069830894470215
2	19.857658	3.0607147	34.868935	12.035157	8.527267	2.580202	12.145279	4.2098436	9.654676	3.9440653	14.725159	0.0056345263	25.311493	1.316518	27.42079	23.088959	11.779411	30.7	31.2	18.2	7999	25.306658	14.441076	62.491932	-4.7261014	25.306398	14.439137	61.960957	-4.316946	0.7580787	1.7529371	8.631287	-12.132598	-28.131804	1.0886649	122.94169187545776
3	26.146448	58.739223	762.5667	11.103557	802.3132	1.3562847	804.5332	800.0875	801.6916	2.490337	806.2429	797.9315	16.137411	1.3908376	18.021564	13.811706	19.578651	1000.0	1000.0	7.1	11999	48.83242	23.411388	91.629036	-12.741829	48.832436	23.401976	91.88559	-10.7655325	1.0944319	2.1743538	14.10061	-10.796488	-54.201202	6.5219746	211.41785287857056
4	132.31607	119.953606	736.37695	59.795204	890.23083	3.0446706	896.67145	886.0133	889.24817	3.875301	893.7336	879.54755	12.971936	0.8285897	14.098335	11.961954	142.96774	1000.0	1000.0	5.0	15999	65.72945	23.917711	125.18091	-18.24387	65.73139	23.899027	126.7748	-17.198778	0.6812285	2.1652555	25.925402	-11.991844	-70.2169	14.269696	299.47328662872314
5	134.85912	46.483063	246.47798	52.67904	899.6709	15.739854	916.0382	867.83466	905.38135	11.608691	914.88513	871.4822	12.562737	0.71116334	13.335481	11.452975	136.44827	1000.0	1000.0	5.0	19999	70.3872	24.535912	110.43996	-26.543097	70.38673	24.520035	109.08361	-17.719732	0.69021225	2.1439013	17.47718	-13.103483	-74.26418	10.386486	386.2698624134064
6	550.5644	221.51854	775.3456	193.57292	755.1454	298.1367	907.3697	122.90444	832.22156	216.22298	908.23895	183.59259	13.0079975	0.18695325	13.2591305	12.682795	667.3333	826.5	915.7	4.0	23999	72.00723	24.644361	107.14727	-35.874992	72.00578	24.636059	108.27391	-24.724943	0.56592107	2.1095688	16.268045	-11.009291	-75.190796	9.295095	468.0557813644409
7	215.08128	86.90162	552.63055	120.73406	686.1468	333.64273	907.0674	153.05891	387.38818	340.34235	907.34314	142.85641	16.060772	1.3734705	17.519867	13.289995	183.42857	739.0	380.4	4.8	27999	73.14527	24.506615	97.187935	-25.001	73.14454	24.498835	98.005806	-31.249254	0.48977962	1.9940143	15.830108	-11.452089	-75.89211	7.4189835	543.159637928009
8	547.9047	215.40999	882.4516	249.17137	918.53564	7.2040052	926.5911	905.4192	916.9215	7.385884	926.68054	908.22485	16.412693	0.26909426	16.67175	15.701468	584.6667	1000.0	1000.0	5.0	31999	73.55284	24.764757	98.990944	-27.953896	73.552826	24.75656	101.226875	-28.836788	0.308192	2.032851	17.504292	-10.974701	-75.96816	6.934831	628.3252158164978
9	803.867	19.864449	834.85236	780.16504	823.19385	27.706413	905.96936	809.89026	812.52905	3.5666468	817.7151	807.5057	16.809713	0.25385192	17.103674	16.31717	1000.0	1000.0	1000.0	5.0	35999	74.97881	23.47371	101.34664	-37.949944	74.97889	23.465025	101.76786	-27.333462	0.14904098	1.9885485	19.933144	-10.605603	-77.18822	5.8559427	712.6378757953644
10	796.49274	16.492283	812.77264	770.96124	810.40875	2.1457632	815.8416	808.4973	822.38513	32.679214	920.01416	805.9309	16.129953	0.29956147	16.545763	15.802426	1000.0	1000.0	1000.0	5.0	39999	76.458595	22.39156	102.64143	-34.597202	76.458786	22.383919	103.105194	-28.813152	-0.031399403	1.9142535	17.807667	-11.693278	-78.48004	5.2300014	797.0310914516449
