AverageTransfer1EpRet	StdTransfer1EpRet	MaxTransfer1EpRet	MinTransfer1EpRet	AverageTransfer3EpRet	StdTransfer3EpRet	MaxTransfer3EpRet	MinTransfer3EpRet	AverageTransfer5EpRet	StdTransfer5EpRet	MaxTransfer5EpRet	MinTransfer5EpRet	AverageTransfer7EpRet	StdTransfer7EpRet	MaxTransfer7EpRet	MinTransfer7EpRet	AverageRandom1EpRet	StdRandom1EpRet	MaxRandom1EpRet	MinRandom1EpRet	AverageRandom3EpRet	StdRandom3EpRet	MaxRandom3EpRet	MinRandom3EpRet	AverageRandom5EpRet	StdRandom5EpRet	MaxRandom5EpRet	MinRandom5EpRet	AverageRandom7EpRet	StdRandom7EpRet	MaxRandom7EpRet	MinRandom7EpRet	Transfer1EpLen	Transfer3EpLen	Transfer5EpLen	Transfer7EpLen	Random1EpLen	Random3EpLen	Random5EpLen	Random7EpLen	Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	AverageStateGradNorm	StdStateGradNorm	MaxStateGradNorm	MinStateGradNorm	AverageActionGradNorm	StdActionGradNorm	MaxActionGradNorm	MinActionGradNorm	Time
54.814194	3.233666	57.11159	50.241116	60.790195	6.9147987	69.27439	52.336746	57.21956	3.1929903	59.943035	52.73856	67.71023	12.381356	81.55944	51.506805	53.62029	4.4433002	59.283913	48.431168	57.890728	4.121284	60.98269	52.066044	68.28705	5.7336802	75.08255	61.058044	62.181767	4.510434	68.509476	58.320694	37.666668	38.333332	41.0	49.666668	37.333332	38.0	45.0	41.0	1	19.915081	3.1053421	32.942772	10.895407	11.729412	3999	9.636116	6.398302	26.720367	-3.7204494	10.135386	6.399353	27.36155	-2.66697	-0.6658884	1.2067691	3.8376122	-10.376026	-10.738526	0.8750918	0.14121348	0.051483236	0.21873222	0.00083424925	0.01741423	0.0033704995	0.027764235	0.0004932494	47.33090329170227
49.25177	1.5807537	50.417217	47.016937	41.14784	4.3159094	46.778267	36.291958	50.313038	4.850049	57.16336	46.589035	63.516373	15.029295	84.6353	50.880188	53.877674	5.515094	61.23904	47.964928	51.453735	3.5646923	56.49445	48.870567	59.9953	5.5336123	65.57852	52.454792	50.378147	3.304126	52.870243	45.70895	37.0	35.333332	36.333332	59.333332	41.0	38.666668	45.666668	39.0	2	20.085028	3.4946957	51.43486	10.470985	12.288343	7999	17.319584	9.579887	46.945187	-5.4682217	17.819582	9.578961	47.475853	-3.8068087	-0.1630747	1.525265	6.891565	-11.145482	-19.01552	0.83136594	0.2876231	0.043298535	0.38587627	0.20498033	0.026259877	0.0053276788	0.046903294	0.016118536	109.98040652275085
76.867424	1.5008155	78.43701	74.84531	86.08588	10.267275	99.65327	74.82224	87.76969	8.911792	94.50488	75.1767	74.92831	10.43257	88.981895	64.01176	81.42444	5.4031014	89.04336	77.11071	85.1741	2.1637774	87.78373	82.48535	69.44692	6.549253	77.46257	61.420254	78.61769	7.6792417	88.70198	70.08463	51.666668	58.0	63.666668	60.333332	54.666668	57.333332	48.666668	60.0	3	31.276234	26.364769	136.42188	9.726437	21.052631	11999	31.843405	16.076723	64.58117	-10.272633	32.34364	16.074741	66.5279	-6.2540402	0.5241515	1.9101564	10.884244	-10.566724	-35.27432	4.250597	0.43960518	0.038058992	0.5703766	0.33973733	0.04762091	0.008410481	0.080865964	0.026562566	174.25710153579712
118.00122	8.799425	124.40716	105.55878	119.464195	14.846391	140.09651	105.778534	109.63589	21.063793	139.34944	92.94783	62.559017	52.767178	131.76122	3.7741551	130.57741	10.669094	143.64232	117.508484	108.317505	8.487722	119.00441	98.24069	98.25236	8.787316	109.36635	87.8803	85.37725	13.331499	104.17823	74.75786	76.333336	85.333336	77.666664	58.333332	82.0	75.333336	65.666664	66.666664	4	111.929665	32.636856	267.80148	60.999294	82.541664	15999	44.836475	19.654518	68.86057	-18.553434	45.33776	19.646301	69.82766	-10.975252	0.39403614	2.0158029	17.955647	-13.825226	-48.254208	4.8619328	0.5319237	0.04699708	0.70359063	0.3934944	0.054115947	0.009752363	0.094196506	0.027502678	237.40814113616943
75.89682	7.298796	86.21733	70.58174	106.76251	44.15481	168.50952	67.82976	76.18192	4.635198	82.73212	72.685936	317.71365	365.71274	833.7654	29.911348	80.990685	7.3020105	89.77831	71.899826	72.10916	9.898753	79.476395	58.116768	54.14641	3.3331523	57.007725	49.471603	42.39632	6.7771215	48.686813	32.98878	69.0	82.666664	68.333336	366.0	75.0	70.666664	53.333332	40.333332	5	127.580345	32.201447	258.32394	48.174377	85.0	19999	46.78569	21.079021	71.29128	-17.296373	47.28623	21.073185	71.76424	-13.69009	0.30043224	2.003855	15.272491	-14.247443	-49.662586	4.096447	0.5829827	0.046881724	0.78380585	0.44674522	0.04923996	0.010514394	0.10442019	0.024414118	298.48197197914124
433.9526	349.37582	928.0109	181.9232	424.51062	356.45486	928.6033	169.62706	669.22925	365.87625	929.7237	151.80617	423.99194	357.84512	929.9595	162.21295	194.85347	16.935896	218.41226	179.33583	166.29587	5.77064	174.39023	161.34787	158.65283	11.955548	169.97426	142.11684	203.12706	102.70477	345.3832	106.60614	417.0	406.33334	702.3333	410.66666	127.666664	111.666664	116.333336	222.0	6	136.0424	104.80439	483.52304	44.22281	123.454544	23999	46.94265	20.585455	72.53171	-20.369184	47.442993	20.580843	73.67492	-14.446511	0.19912957	1.9560236	14.666152	-11.399747	-49.342438	4.222631	0.5830907	0.04255538	0.74349266	0.4659532	0.04416424	0.0099482965	0.09049924	0.02102391	366.4034585952759
727.03516	350.3853	1023.63916	234.96814	488.64096	311.7005	925.129	217.06367	230.73938	39.06509	270.3647	177.58759	585.67706	789.3825	1702.0089	21.214207	528.7483	283.34125	910.38226	232.14838	564.0684	264.95584	849.8934	211.32152	456.83606	295.3398	874.3657	238.5771	633.1728	100.49107	774.0246	546.3681	618.3333	436.66666	179.66667	348.33334	487.66666	552.6667	462.0	769.3333	7	188.12445	30.257387	269.62357	140.73671	133.96666	27999	46.77854	19.272665	72.502	-18.041416	47.278645	19.26964	73.30082	-16.27772	0.14007273	1.9027393	17.769981	-10.748601	-48.93013	3.0631208	0.5506275	0.037967056	0.7038062	0.44588187	0.039707877	0.008765874	0.09029523	0.019404335	437.1438937187195
913.67236	1.3174818	915.1881	911.97614	851.14404	44.48565	913.8626	815.51306	689.94806	321.996	920.2146	234.58673	377.99197	443.4525	1005.11615	61.00476	904.23505	2.8162978	907.8477	900.97656	867.7615	15.452779	889.51105	855.043	769.4322	4.7598124	773.9265	762.84515	317.2405	286.2955	719.7756	78.266	1000.0	1000.0	713.0	378.33334	1000.0	1000.0	1000.0	430.0	8	289.6236	161.40913	750.4905	166.33815	268.14285	31999	47.753464	18.280052	72.18708	-21.121944	48.253254	18.27773	72.761826	-17.25629	-0.026442695	1.8535814	14.942785	-10.491041	-49.624638	2.8180673	0.5427811	0.036795657	0.7010315	0.43046385	0.035889845	0.008272814	0.07705091	0.017358437	521.7385406494141
455.76303	93.30869	578.2248	351.9633	585.0624	342.1728	1059.4976	265.34158	172.91801	80.49147	286.55624	110.34762	389.91348	374.2684	919.0266	113.32803	334.43262	78.95444	431.51993	238.12657	320.5943	55.92647	389.9549	252.99765	224.20197	69.04782	321.5309	168.70312	522.3064	284.58466	734.2986	120.03829	205.66667	273.0	105.0	382.0	154.66667	164.66667	140.33333	690.6667	9	513.705	415.35715	1466.9371	112.06315	373.27274	35999	49.318214	17.651052	78.72567	-20.23247	49.81807	17.648762	80.62979	-15.901411	-0.0056980383	1.8455113	15.158823	-11.762696	-51.020763	2.7026854	0.53127676	0.037367783	0.6966786	0.430849	0.033903055	0.007958839	0.07686666	0.016692774	588.4254579544067
241.89595	44.685776	303.7548	199.77097	178.32841	89.60469	302.10947	92.93922	412.88382	431.99472	1023.79144	102.62728	176.52144	92.13449	300.16034	79.08998	250.2725	5.774621	255.71939	242.27953	634.99567	153.29544	760.29193	419.1324	232.54468	100.577	374.51624	154.0319	149.25237	10.204468	157.41429	134.86441	114.666664	95.333336	376.66666	94.0	118.666664	291.66666	122.666664	101.333336	10	305.39734	90.69293	592.55975	184.96407	168.60869	39999	51.815	17.697346	84.74924	-21.291002	52.31514	17.695398	84.699585	-16.78301	0.21388799	1.9058911	14.925734	-12.175425	-53.47015	3.1062927	0.55559176	0.040812384	0.7270634	0.43924978	0.03452747	0.007949563	0.08015343	0.018209128	652.2805461883545
