Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	20.17628	2.937915	36.620953	12.186616	59.260986	5.024653	69.267235	53.384815	61.897636	4.887211	70.418175	55.044857	63.429424	6.2333226	70.57868	50.27158	11.789941	41.2	42.9	44.1	3999	12.03315	7.5907817	28.830822	-3.3663378	12.032882	7.5905833	28.841417	-3.241279	-0.49553865	1.2863852	5.110859	-10.715686	-13.137885	0.7392874	59.321165561676025
2	19.919748	3.0417585	29.489182	9.414055	780.292	2.172121	783.9915	776.3666	641.2401	272.7194	783.1819	80.41204	777.238	5.477569	781.11584	762.30176	11.561959	1000.0	818.3	1000.0	7999	25.477392	13.342991	51.080467	-7.7067633	25.477377	13.341194	51.156487	-7.936723	0.2635174	1.8576463	10.753211	-12.166128	-27.976254	1.2241069	170.26772117614746
3	26.214367	59.59254	787.4337	13.130748	835.0449	236.80211	915.80743	124.65625	835.7001	235.83363	916.9948	128.21794	912.8002	2.1004672	915.56934	910.24493	19.331396	912.1	910.6	1000.0	11999	47.955376	22.198114	86.07267	-18.336662	47.95545	22.191854	84.559204	-16.81333	0.8063561	2.3779747	16.225983	-12.0758	-52.927483	5.6312733	284.36738872528076
4	158.74411	180.21013	767.033	70.38674	86.52696	6.7929482	98.84275	77.145134	89.83702	10.320651	112.69519	74.011505	84.83412	7.769177	102.043755	77.38049	172.40741	60.7	64.0	59.6	15999	67.31358	25.002867	97.5249	-21.407816	67.31352	24.994694	98.48073	-20.688652	0.62926686	2.425254	18.941536	-11.513358	-72.031586	10.61952	358.20319986343384
5	128.06398	53.004753	318.8961	65.24644	155.73184	14.292514	197.56645	145.11687	160.92589	18.087177	207.10342	139.84506	150.80305	4.52961	156.88654	144.28738	105.567566	113.3	115.5	104.4	19999	72.3663	25.53551	103.24131	-32.914574	72.36642	25.527124	105.362175	-22.392736	0.49242255	2.28922	24.37895	-11.530872	-76.328606	9.919217	433.55981397628784
6	250.23105	132.67758	564.2227	120.43777	907.5111	4.8120875	915.6182	900.379	905.0964	6.494881	915.4141	892.9264	904.28284	3.684461	910.98193	896.7072	241.125	1000.0	1000.0	1000.0	23999	73.24496	26.374916	106.26781	-27.735771	73.24405	26.37151	104.853264	-29.012342	0.30042925	2.2012315	19.373604	-10.573415	-76.52344	7.462978	537.7598049640656
7	727.0675	184.96826	866.6531	362.22983	907.47156	3.0908465	913.47253	903.52893	756.4054	293.13867	908.1304	148.2528	850.15594	167.74373	911.0225	346.99976	839.2	1000.0	825.4	932.6	27999	73.40974	24.749165	100.64025	-32.39066	73.40924	24.748446	100.17657	-28.607944	0.12802535	2.103161	18.169685	-11.114754	-76.159836	5.8749046	640.2826902866364
8	481.66293	279.00525	901.7378	163.63728	911.7067	2.9342592	915.4364	905.6294	910.3827	2.5162299	914.1396	906.53925	890.5421	40.06062	913.74805	810.3023	507.14285	1000.0	1000.0	1000.0	31999	73.3369	23.766264	100.803764	-29.990244	73.336815	23.76463	99.19034	-32.01	-0.025998943	2.0121226	19.081348	-10.10786	-75.72704	5.268167	746.8687160015106
9	483.75745	200.17793	768.0007	171.68402	890.695	41.9355	914.6311	806.6292	910.51044	5.52397	914.7557	894.97076	880.34	47.248035	914.694	807.4887	552.0	1000.0	1000.0	1000.0	35999	74.2807	22.31935	99.33848	-32.738323	74.28071	22.316126	98.687836	-27.75966	-0.134324	1.9631655	17.970528	-11.07804	-76.442154	4.6931443	851.743542432785
10	460.21088	255.56032	862.04987	151.28822	900.8371	6.0125594	911.2843	892.19415	831.1167	219.1363	911.7786	173.86322	796.33746	186.1516	921.4932	351.13565	508.625	1000.0	916.1	874.3	39999	74.87491	21.606972	105.03778	-35.66522	74.87497	21.606457	107.89988	-37.50087	-0.10741613	1.9022319	18.272797	-12.74129	-76.79805	4.6110506	953.1850759983063
