AverageTransfer1EpRet	StdTransfer1EpRet	MaxTransfer1EpRet	MinTransfer1EpRet	AverageTransfer3EpRet	StdTransfer3EpRet	MaxTransfer3EpRet	MinTransfer3EpRet	AverageTransfer5EpRet	StdTransfer5EpRet	MaxTransfer5EpRet	MinTransfer5EpRet	AverageTransfer7EpRet	StdTransfer7EpRet	MaxTransfer7EpRet	MinTransfer7EpRet	AverageRandom1EpRet	StdRandom1EpRet	MaxRandom1EpRet	MinRandom1EpRet	AverageRandom3EpRet	StdRandom3EpRet	MaxRandom3EpRet	MinRandom3EpRet	AverageRandom5EpRet	StdRandom5EpRet	MaxRandom5EpRet	MinRandom5EpRet	AverageRandom7EpRet	StdRandom7EpRet	MaxRandom7EpRet	MinRandom7EpRet	Transfer1EpLen	Transfer3EpLen	Transfer5EpLen	Transfer7EpLen	Random1EpLen	Random3EpLen	Random5EpLen	Random7EpLen	Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	AverageStateGradNorm	StdStateGradNorm	MaxStateGradNorm	MinStateGradNorm	AverageActionGradNorm	StdActionGradNorm	MaxActionGradNorm	MinActionGradNorm	Time
18.717398	1.6643904	20.894026	16.85319	16.307806	5.9248424	21.852652	8.095102	28.50238	19.612844	52.24244	4.2104883	32.61266	20.463495	61.54181	17.469704	15.274264	1.4359953	16.82484	13.3632345	15.331039	1.3103404	17.17489	14.248971	16.552156	4.686876	23.121578	12.504409	16.32042	1.0911465	17.69291	15.023352	34.0	34.666668	38.666668	33.333332	31.0	35.0	34.333332	33.333332	1	20.091335	2.976238	37.376465	12.91084	11.804733	3999	9.462958	6.3291802	23.377254	-4.4882703	9.961114	6.3311014	23.80876	-4.0493283	-0.724234	1.2050712	4.003168	-11.498764	-10.484088	0.8213093	0.14647368	0.050917618	0.21970211	0.0008120657	0.016568927	0.0032715236	0.025500078	0.00032113492	57.45369100570679
2.2711513	3.2533698	5.995489	-1.9305911	0.3278918	0.77240795	1.2181014	-0.6654523	9.671447	8.660988	18.098787	-2.2398853	17.196775	4.274284	21.100832	11.248122	-2.0811424	2.1755579	-0.071650855	-5.103569	2.962558	2.5938594	5.662396	-0.5380159	4.056768	1.9515965	6.8092113	2.5040967	2.8429909	0.91417986	3.5645282	1.5531768	30.333334	31.333334	30.666666	35.0	28.666666	30.0	29.0	29.0	2	19.900137	2.8648465	33.420227	11.6879015	11.837278	7999	16.629786	10.34875	45.032993	-4.4644647	17.12998	10.348311	44.77359	-3.6375418	0.2918839	1.6546574	6.4681535	-11.825205	-18.547125	0.685369	0.28807884	0.047083694	0.39725077	0.20572078	0.027591785	0.0066137835	0.047648534	0.014997956	131.84403538703918
411.56396	419.06943	1004.1274	106.323715	413.7384	410.01553	991.5875	83.137245	375.60843	378.5293	910.4073	87.73245	655.6839	419.04147	1003.1757	66.20886	113.422035	14.314499	132.91972	98.95752	96.99884	16.486156	114.0004	74.68139	75.42275	9.283185	88.53807	68.35747	90.3887	22.673817	118.482315	62.954792	391.33334	403.33334	390.33334	683.3333	86.666664	74.666664	61.0	89.333336	3	25.311886	16.65885	103.49994	1.340127	18.660378	11999	33.151917	18.593927	97.68751	-7.6645184	33.652576	18.596678	100.766815	-8.274748	1.3949722	1.9739771	10.973443	-13.223729	-37.28945	6.8777313	0.46569765	0.059069056	0.66964257	0.35149428	0.053051	0.00857793	0.08640893	0.031835034	214.51944279670715
474.22208	378.86423	1010.0108	204.08412	970.8721	30.106699	1002.2068	930.2403	158.20078	31.911993	198.9379	121.01174	714.51666	414.61908	1009.9134	128.16237	443.99844	376.89166	975.38306	142.33687	165.96648	33.843483	210.55557	128.60768	134.61436	1.5049216	136.68405	133.15001	86.81061	17.543827	106.02175	63.60806	432.66666	1000.0	106.666664	698.0	415.66666	105.0	92.0	57.0	4	102.12204	27.03454	181.61801	59.442307	74.62963	15999	43.65663	20.934065	71.595634	-14.620288	44.15685	20.934586	71.89871	-16.876537	0.71452963	2.0156958	14.445273	-11.820919	-47.255833	4.5560875	0.6572274	0.04163844	0.8171433	0.5273816	0.054527	0.009032545	0.09910461	0.0312671	302.9358274936676
919.04803	0.35256937	919.5085	918.65216	428.95108	344.9301	915.9966	161.86603	481.81998	306.6694	912.6716	223.44818	396.11148	374.4589	910.6023	30.221895	911.80273	2.7081153	915.3474	908.77454	341.38684	193.74628	615.31116	198.8996	145.77283	11.896813	161.75078	133.21986	150.13144	18.968412	170.53946	124.84978	1000.0	422.33334	489.66666	407.0	1000.0	327.66666	99.0	107.333336	5	240.61952	207.76378	881.6163	98.47307	208.42105	19999	44.69347	19.993979	67.04027	-10.714065	45.19374	19.992266	67.63096	-9.493163	0.39102733	2.068051	20.041906	-12.423358	-47.563946	3.6062577	0.58730185	0.048165247	0.7932906	0.44068667	0.047125313	0.009396336	0.090660475	0.023016108	396.68653202056885
138.97058	6.8360224	148.55457	133.07982	404.40823	364.17804	919.42694	144.60442	153.86787	18.133064	172.0752	129.12509	148.73091	32.793705	183.60684	104.81857	143.90143	4.38471	149.34665	138.60963	149.58339	10.3763075	163.79152	139.30154	150.12862	6.101666	155.45058	141.5852	230.87886	47.3171	289.67126	173.80682	82.333336	392.33334	97.333336	105.333336	83.333336	89.333336	111.0	237.66667	6	164.27116	44.496223	346.94815	120.21379	119.117645	23999	47.023945	19.152351	70.18077	-13.804679	47.523987	19.149216	70.58502	-12.51512	0.30384216	2.0173728	17.583805	-10.627873	-49.521503	3.173356	0.56156015	0.038898125	0.7136398	0.42177078	0.043253396	0.008792999	0.07940212	0.022120139	477.97670674324036
142.93062	2.9664395	146.45633	139.19884	142.8025	4.859374	148.11078	136.36856	693.647	395.0678	1020.9206	137.85359	94.65913	49.189144	159.1389	39.81112	148.1634	12.964767	165.60329	134.54286	140.5446	5.2249837	146.00534	133.5031	153.18712	2.6282015	155.83354	149.6037	162.62616	11.199035	178.46233	154.50916	83.666664	82.333336	693.3333	64.0	88.333336	82.666664	93.0	118.0	7	151.30272	17.469652	195.70486	115.90635	94.38095	27999	48.72873	19.310865	73.41523	-14.529977	49.228886	19.306753	73.940414	-12.592475	0.21183555	1.9825922	19.961145	-12.3900385	-50.977875	3.0023096	0.575993	0.037897978	0.750508	0.45808265	0.039774284	0.0085825445	0.08852377	0.020619607	559.1695358753204
176.27238	10.443188	190.76219	166.5527	151.0751	10.85629	159.11206	135.72772	422.33118	359.973	931.034	151.04099	66.14744	82.0105	181.93561	2.473459	166.36003	35.29766	191.56201	116.44238	173.30042	6.5333962	182.49419	167.9074	152.04118	5.3905783	159.2274	146.2444	156.08739	23.671888	189.48465	137.38766	98.666664	87.666664	398.0	79.666664	95.333336	95.666664	96.333336	113.0	8	156.93718	25.207836	226.04901	104.70311	99.675	31999	49.42605	19.715504	75.59941	-19.438759	49.926353	19.711178	76.343925	-14.064044	0.14502536	1.9622322	19.96328	-11.712349	-51.452545	2.5962305	0.5918232	0.0371325	0.7469603	0.49413672	0.03688694	0.0085902745	0.07506495	0.018475877	641.2377860546112
163.29376	15.065938	182.02455	145.13394	174.29095	12.930987	186.95166	156.53276	238.13788	89.142044	363.44217	163.5031	136.82893	19.68913	153.8083	109.22726	207.51851	26.156328	242.42079	179.4559	176.88141	11.577712	185.84294	160.53333	198.6566	14.339598	218.76662	186.33743	163.51111	27.53124	202.41858	142.78821	110.666664	105.0	175.33333	93.333336	128.66667	120.0	146.66667	118.0	9	186.18074	39.47926	335.90253	126.7742	124.71875	35999	49.675125	19.524012	76.36351	-14.029113	50.17542	19.521086	76.6082	-17.433039	0.037985448	1.8984452	23.188885	-12.687752	-51.491714	2.3365903	0.5918273	0.03542579	0.76344585	0.48902968	0.033645947	0.008078042	0.0716835	0.017007206	721.4581837654114
197.0739	14.203825	212.87321	178.43137	261.46814	87.87261	385.66415	195.64078	421.90726	352.21518	919.94696	165.7716	378.17355	386.39978	918.17175	35.65782	175.57771	16.855581	199.0056	160.05371	218.77278	23.370796	251.74162	200.26767	161.27563	17.999054	183.00491	138.92937	155.19313	9.535679	168.4661	146.49142	112.666664	173.66667	417.33334	374.66666	103.0	131.33333	104.666664	109.666664	10	252.18674	89.08602	514.41016	174.47087	174.17392	39999	49.97569	18.941568	76.20144	-21.44698	50.47589	18.938562	76.82743	-19.492281	-0.0005663124	1.8537544	25.628998	-11.769513	-51.631348	2.2134058	0.57508963	0.037159692	0.72182256	0.4625888	0.03183729	0.007832573	0.0768195	0.016163342	803.554443359375
