Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	16.651884	3.3234408	33.79601	10.719678	88.60211	27.295408	142.22098	49.219494	64.76297	12.5946455	77.37352	38.677708	60.750996	18.197876	86.27042	33.7406	14.213523	83.5	61.5	62.4	3999	11.070762	7.064136	26.235483	-2.5900617	11.072265	7.063111	26.320177	-2.131204	-2.7647395	1.6300831	8.303735	-12.317288	-12.318641	0.4195483	54.94988656044006
2	17.280085	3.7229226	35.989338	10.738669	74.42205	5.680251	86.11268	64.513084	59.250355	17.990826	81.98157	24.440464	83.284744	14.788429	112.68895	62.918365	14.947762	66.2	61.3	76.9	7999	26.063967	12.643313	46.817696	-7.4542394	26.063366	12.646623	46.71668	-7.168864	-1.823908	2.7827637	22.789345	-12.946357	-28.434526	0.7246089	129.16745519638062
3	23.628326	18.316767	107.25751	10.723806	72.324486	15.620529	87.75604	30.798714	67.39455	16.707829	91.87187	25.179419	61.337177	15.929924	79.57978	32.56913	23.592813	68.6	69.0	67.4	11999	42.12982	17.92906	65.08901	-16.894653	42.128864	17.936945	64.904434	-11.312733	-1.2855036	3.5600712	23.23448	-13.003252	-45.664963	3.8174245	200.8812882900238
4	70.14085	20.59485	114.45829	20.958029	90.78289	26.10551	166.88466	69.59514	92.86179	25.097628	153.05026	50.638554	112.59605	32.334644	172.76323	62.072998	76.92308	72.0	77.5	100.8	15999	55.41411	21.235247	78.13875	-19.806255	55.41064	21.252285	78.000275	-26.810541	-1.3439083	3.682732	23.51265	-13.074829	-58.90127	4.303265	278.4468004703522
5	84.07281	23.97278	152.5182	34.22653	125.55444	45.239708	229.28653	86.03638	102.33068	39.272106	163.58997	38.209137	230.22261	274.99008	1000.3323	90.67201	88.21739	101.3	99.0	208.2	19999	60.480465	26.05623	87.59124	-24.136019	60.48107	26.06122	87.42492	-26.787718	-1.2208232	3.58292	23.480263	-13.789196	-63.693867	4.4361806	353.9797236919403
6	86.196106	28.644081	143.98788	16.27355	158.8151	41.100216	215.92706	86.886536	142.8316	43.44525	211.90988	52.480736	174.0983	244.39172	901.78485	58.402275	101.60526	151.0	133.9	203.5	23999	63.057796	28.755991	92.78965	-21.340853	63.05725	28.761877	93.16548	-20.392761	-1.2941697	3.4927533	22.03849	-12.704698	-65.96386	4.808923	434.97513937950134
7	110.96531	49.43188	258.14526	23.768288	348.68134	321.24915	899.92694	47.268642	413.1647	311.38193	899.1615	113.04923	364.86005	320.07935	900.9096	50.071247	134.53334	398.4	449.9	411.7	27999	63.95455	29.95713	100.4033	-16.730059	63.95447	29.961199	99.88868	-19.643368	-1.3239378	3.3219593	22.214851	-15.131223	-66.58083	5.8183236	523.8859264850616
8	120.80811	66.42585	320.95868	39.708927	122.39107	71.059166	226.84117	19.242718	114.54698	62.244583	228.82649	41.221092	151.81857	46.616135	224.96732	46.879066	162.4	132.9	130.0	142.9	31999	65.17301	30.441608	99.19265	-22.691593	65.17329	30.444748	99.05537	-18.351286	-1.3315445	3.209396	21.6261	-16.174294	-67.53687	6.5867724	600.3930697441101
9	158.36528	142.65123	667.85583	19.225624	780.49066	237.68945	923.2733	131.50075	567.1326	359.66177	978.428	39.918133	705.7325	289.01633	898.7554	104.053055	246.25	886.9	625.1	802.2	35999	65.907974	31.196007	101.82759	-20.818668	65.90793	31.201313	102.09429	-17.094435	-1.3351438	3.1670573	23.000242	-12.636598	-68.069115	8.808218	707.3839616775513
10	193.63289	164.25061	692.3277	28.888494	284.64902	317.35355	922.0196	81.27392	167.36823	240.86165	885.786	42.615753	148.94423	59.079655	272.48953	72.00182	268.53333	337.9	212.5	204.7	39999	68.28833	30.583529	101.744446	-39.615578	68.288704	30.587181	104.26529	-34.293545	-1.3671392	3.1233592	25.47411	-13.974122	-70.34664	8.391814	790.1403167247772
