Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	17.013002	3.5881224	36.770355	11.195038	80.51727	15.827362	92.70151	35.208557	87.55315	22.749006	127.462906	34.730656	82.76683	22.727568	126.9651	30.68601	14.615385	83.7	94.0	87.7	3999	11.501194	7.1597123	26.908833	-2.6055102	11.501675	7.1588807	26.683472	-2.4081044	-2.8275943	1.7736797	11.623473	-14.8070965	-12.836041	0.48960027	59.27345299720764
2	16.630455	3.2355232	28.089626	9.634982	45.16241	21.430641	79.28176	12.259214	65.354294	32.069496	151.41713	41.107376	47.802147	22.55753	82.19189	11.5406275	14.113074	49.8	77.7	51.8	7999	32.647552	14.995104	77.44969	-7.0656066	32.648422	14.992427	76.82714	-8.28485	-0.5469749	3.8919022	25.880905	-12.152862	-36.02797	2.9050763	133.05411648750305
3	19.433428	11.911192	87.0	6.110744	52.308716	15.361371	72.312965	13.447188	47.757317	21.476011	79.088974	20.945618	52.370564	16.255789	75.65206	8.635798	19.033653	56.7	65.0	55.9	11999	85.9897	41.09345	213.65762	-36.167927	85.9907	41.093536	210.49367	-30.08309	5.3381042	4.9266596	52.971523	-16.351507	-95.76469	50.71251	206.49832797050476
4	53.813164	25.545757	100.65619	-2.9758627	61.992485	29.679506	138.4109	23.818035	48.61968	11.72456	63.61906	27.840115	60.47011	16.732655	91.92516	40.158554	78.803925	78.3	64.2	73.6	15999	120.24114	47.17241	175.59608	-86.924904	120.24435	47.16565	179.24396	-89.25454	3.0675488	4.7410455	33.26624	-12.534937	-128.93504	69.8407	283.6530201435089
5	74.18772	50.591576	234.32997	14.086056	311.92267	376.09863	886.3939	16.289364	294.2442	304.75583	886.003	36.307602	217.24649	239.53426	860.9384	23.55905	108.741936	371.7	332.0	256.8	19999	112.15046	46.288574	171.23557	-67.765015	112.1526	46.29972	171.01576	-59.04868	1.7168134	4.6573706	44.392696	-15.535646	-118.26119	50.953053	371.55155181884766
6	197.95299	216.65561	741.8321	56.459923	243.38657	317.2012	878.6609	51.563026	270.95987	314.2309	879.985	18.582901	307.49908	295.0794	886.0389	60.412548	251.88889	265.7	307.2	341.3	23999	100.97605	44.025406	164.24821	-38.748344	100.97253	44.05438	164.65862	-45.53872	1.1526474	4.3668666	45.27263	-12.613297	-105.58029	42.14324	458.0268597602844
7	147.0192	116.22972	590.18976	19.789518	126.18358	90.72533	270.2323	12.515016	291.30255	330.21948	789.86884	32.07978	126.913795	58.694134	242.7068	52.32026	200.75	262.8	397.9	248.6	27999	91.35468	41.43486	147.99612	-54.4554	91.35533	41.44334	145.51163	-58.499146	0.6529272	4.156006	82.35396	-13.987748	-94.98251	34.51283	543.2821743488312
8	196.70967	230.06789	690.0449	15.860346	32.32595	17.278706	69.42465	16.786108	47.97312	29.556314	114.502815	12.676928	35.750675	16.540754	54.94709	17.843153	314.27274	102.1	124.1	114.5	31999	83.82665	37.83615	140.68085	-32.2834	83.829605	37.83382	141.80963	-44.14735	0.45068112	3.8099422	81.48673	-14.557927	-86.78295	29.400434	620.4350080490112
9	315.6695	292.34756	727.87213	16.78001	711.2489	166.18948	778.4899	213.135	594.89935	271.3396	802.38184	104.49233	390.27917	308.5428	774.1364	104.59465	455.7	923.7	760.1	495.8	35999	80.30343	35.354374	121.59118	-30.022068	80.31539	35.326653	126.000984	-35.25099	0.06359834	3.5896297	77.20694	-13.251633	-82.85604	24.087008	722.4691517353058
10	466.22318	280.64603	713.0862	57.850807	886.58484	3.644576	893.0379	881.9082	602.46814	369.76425	956.0164	46.91452	614.282	364.51825	969.31287	101.97805	648.0	1000.0	680.1	678.9	39999	78.94106	33.245243	119.203384	-35.743813	78.95482	33.205345	119.52378	-29.698776	-0.25272134	3.398718	67.07956	-12.207836	-81.19733	21.48607	827.3309297561646
11	363.6542	289.73044	710.0296	68.34934	274.7831	266.87207	808.7103	76.02207	215.60257	190.81805	765.8875	86.50811	211.7636	181.62605	707.4526	50.70469	520.0	325.5	239.9	240.5	43999	79.32815	31.347727	116.024536	-32.010616	79.33554	31.323257	114.22182	-29.03484	-0.5886615	3.266858	48.14266	-13.503113	-81.336075	17.645586	913.2313668727875
12	283.11423	273.38547	734.462	71.45845	664.47766	355.57843	900.9523	97.09836	664.28357	354.72284	908.9305	79.6671	653.46936	364.46652	900.7207	83.712524	379.0909	733.6	743.1	725.3	47999	79.775696	29.996136	112.88709	-35.39041	79.77943	29.982368	114.46559	-30.57036	-0.95487416	3.159893	46.832077	-12.666361	-81.585106	14.246168	1016.4394240379333
13	629.1825	174.11958	732.45514	282.56223	821.47266	160.23686	903.91254	471.38934	594.00964	349.3911	905.03735	30.573137	596.1657	323.43863	899.41223	53.078987	866.2	906.0	653.9	655.3	51999	80.18678	29.406374	115.756775	-35.95996	80.189186	29.398375	111.741646	-27.355574	-1.1203179	3.0766103	39.753143	-13.215837	-81.848335	12.831409	1120.4979014396667
14	384.71405	309.36526	759.14465	36.213863	736.975	317.23254	900.72754	70.20035	697.2444	318.53568	900.2931	51.003155	810.3697	242.55255	899.37836	83.04248	513.8571	825.6	785.8	910.5	55999	81.36306	29.071526	113.69577	-35.67111	81.36565	29.06135	117.15951	-29.29422	-1.2741704	2.993486	30.55958	-12.998907	-82.94553	11.88148	1228.2069795131683
15	632.4142	237.38504	763.47833	158.15622	886.9873	6.855348	893.74927	869.106	886.9374	7.9223447	901.4137	870.50867	810.31647	225.04286	899.1583	135.61859	841.2	1000.0	1000.0	912.9	59999	83.01383	28.876848	113.9535	-26.334307	83.01534	28.870668	112.02778	-43.48364	-1.3826044	2.9565194	28.387735	-12.638485	-84.53358	10.540787	1341.9860513210297
16	635.39417	209.70752	779.7428	224.34563	814.8312	224.17479	903.4675	145.9404	756.30646	273.89517	901.43604	187.78445	734.688	313.85645	897.78973	90.87644	824.4	914.3	842.2	820.0	63999	85.1379	28.801033	114.12134	-45.02143	85.14008	28.791666	117.182236	-53.74983	-1.4365667	2.8836892	35.806786	-13.249151	-86.60717	10.281224	1451.0351419448853
17	541.0927	284.8477	778.1613	112.363304	816.9149	239.2534	902.239	99.21491	737.7352	310.4877	898.43097	97.00044	892.89404	4.312838	898.39325	885.8838	691.2	908.5	821.7	1000.0	67999	87.19337	28.932438	116.37318	-41.146328	87.19472	28.923462	116.65025	-28.858938	-1.5185244	2.8609302	38.995464	-13.946144	-88.638756	9.706878	1561.2458415031433
18	759.7075	13.728148	780.6381	744.3408	591.0487	375.9286	901.59863	101.90383	893.9662	6.573312	900.76416	880.1292	761.234	267.469	899.4748	140.98854	1000.0	644.8	1000.0	845.7	71999	89.23226	29.043032	118.118935	-28.858015	89.23429	29.030584	118.02358	-34.113304	-1.5393186	2.8475857	35.649433	-14.119785	-90.6125	9.341008	1668.9098780155182
19	758.79553	14.723557	782.494	743.2865	586.62366	382.80975	899.4817	16.944893	587.8032	384.7581	900.5909	25.148289	532.2702	373.74637	896.95776	24.560757	1000.0	670.1	668.8	610.4	75999	91.62046	29.010279	120.39756	-27.194635	91.62275	28.997242	120.22602	-31.947798	-1.6435775	2.8639462	35.806664	-12.064171	-92.9947	8.541029	1769.6249151229858
20	770.0471	7.9177246	781.46796	761.70703	418.3509	392.64148	901.2615	66.05639	272.21207	312.6677	899.2521	55.04181	341.14914	360.8933	890.841	54.718567	1000.0	476.8	330.6	398.9	79999	93.76999	29.094032	122.28258	-20.879923	93.77211	29.081915	121.943665	-30.258184	-1.7439747	2.8422463	35.37589	-12.60437	-95.11105	8.501255	1860.6222159862518
21	626.2212	244.29614	771.75745	138.62526	762.70276	261.51614	900.18787	162.0617	759.74677	338.01822	987.789	82.55224	686.86536	326.82755	927.7157	141.08742	831.0	868.6	814.4	779.2	83999	95.78056	29.15342	123.65287	-31.425407	95.7824	29.14278	124.07888	-44.702515	-1.7894064	2.8400435	31.156221	-13.293803	-97.1011	8.261564	1967.1785221099854
22	480.62604	326.0223	778.4494	52.697693	595.57684	344.30035	1001.72614	196.0014	513.3307	345.69446	992.86993	131.32791	436.3852	251.36848	923.05255	205.11642	620.4286	627.9	540.5	462.7	87999	97.83195	28.996859	125.93289	-30.43982	97.83247	28.989975	125.00241	-30.334625	-1.8678212	2.8230329	41.86879	-13.796144	-99.109375	8.233435	2063.3628232479095
23	607.97455	289.16714	761.871	29.815437	556.985	342.6136	903.94305	125.685745	623.0901	305.86035	915.6218	105.499466	706.16626	337.53152	945.80664	174.26024	809.4	656.0	743.3	777.9	91999	99.45729	28.96701	127.29315	-26.938864	99.45816	28.96	126.702324	-27.488188	-1.8271394	2.8416998	36.094315	-13.404433	-100.70986	8.532133	2167.8436031341553
24	759.87244	8.660039	769.55817	745.92303	812.22156	194.05586	894.6617	233.86903	814.9479	222.18593	903.24066	148.97508	799.999	220.56676	889.0322	139.70395	1000.0	937.6	920.1	922.1	95999	100.83359	28.85093	127.934296	-27.003935	100.83513	28.841139	128.00836	-32.96782	-1.8683064	2.7992785	36.614975	-13.090874	-102.05314	7.7020793	2279.827857017517
25	629.30975	299.466	800.29736	30.925734	818.3534	227.0529	901.1478	137.32277	716.7145	278.96786	898.9067	171.57455	735.46893	294.78806	898.9336	113.43427	809.8	922.4	811.4	856.3	99999	102.38495	28.516619	129.05199	-31.925787	102.38516	28.511518	129.04198	-36.031414	-1.9403446	2.7486582	32.449585	-14.206535	-103.58246	7.550102	2389.595931529999
26	782.57227	8.255242	795.9101	774.5616	886.0814	6.1155434	893.45667	873.7287	817.7523	206.3957	902.5578	199.38885	878.58026	12.56152	898.7445	848.788	1000.0	1000.0	919.3	1000.0	103999	103.67759	28.29954	130.2116	-51.93725	103.67791	28.295946	130.1964	-63.452404	-1.9523354	2.7694435	30.146784	-13.896371	-104.8625	7.3816047	2505.894567012787
27	598.55286	311.34113	784.07367	59.405727	594.0492	373.90454	900.9876	86.69453	606.8099	365.41666	903.5185	66.854614	755.8336	282.84326	905.05066	97.94028	778.75	673.7	689.0	853.0	107999	105.02875	27.988192	131.01712	-44.899586	105.02957	27.979324	131.2334	-38.410107	-2.0169408	2.6996427	30.733742	-13.546593	-106.195	7.289573	2612.2589571475983
28	469.2934	355.20117	792.87354	27.325567	834.08466	218.5698	912.74854	178.4836	663.0309	362.61407	908.7308	44.003803	835.24445	200.07732	911.4766	235.14517	615.2857	917.6	734.2	923.8	111999	105.98897	27.94958	132.3445	-28.017353	105.99091	27.938103	132.09196	-26.188065	-2.0458326	2.6752977	28.798275	-12.54303	-107.11559	7.3649287	2721.9832899570465
29	582.28436	296.25424	794.80756	139.0617	899.3678	4.6203184	910.08545	894.4702	896.3395	3.961596	901.80615	888.2273	896.82196	4.8689604	909.3376	891.00714	724.8333	1000.0	1000.0	1000.0	115999	106.78656	28.045513	133.63245	-47.570354	106.78913	28.030672	133.25189	-30.235563	-2.11174	2.620864	27.611311	-12.392038	-107.88983	7.3981686	2839.0478065013885
30	785.2608	2.5231836	789.0014	781.97125	905.3048	5.8712387	917.1897	896.8209	825.0034	240.54561	917.223	103.657974	902.4497	7.1727457	912.8612	888.34515	1000.0	1000.0	909.7	1000.0	119999	107.61042	27.96093	134.77298	-32.183548	107.61144	27.952192	134.25285	-34.30573	-2.100115	2.599549	37.73234	-13.27601	-108.68375	7.2525797	2956.120931863785
31	651.892	279.9398	796.8336	92.08342	897.6335	2.702798	903.41266	894.0017	820.0084	235.20413	905.4048	114.50783	890.917	5.940803	901.16327	880.07916	818.0	1000.0	911.2	1000.0	123999	108.34455	27.96947	136.48116	-50.01257	108.34415	27.96869	138.76314	-53.508053	-2.0877888	2.606069	31.543499	-13.923343	-109.39755	7.691919	3070.024380683899
32	788.7783	8.444962	799.34094	777.01733	899.14825	3.971695	903.20435	892.0356	899.7743	3.723218	905.4842	894.86206	894.18427	4.2025647	898.7907	884.4641	1000.0	1000.0	1000.0	1000.0	127999	109.14175	27.611938	137.9331	-30.76735	109.14205	27.604599	135.87692	-24.984388	-2.074559	2.6085367	31.611315	-13.493635	-110.18944	7.1591754	3186.2448530197144
33	644.04724	291.7263	801.8448	60.77938	893.6945	5.4709206	903.6363	887.14545	897.3011	7.4884686	907.822	881.37885	890.87585	8.1214905	899.82056	878.1435	826.6	1000.0	1000.0	1000.0	131999	110.16056	27.009832	138.08513	-45.05519	110.16117	27.004337	136.637	-53.3378	-2.145346	2.623247	41.348415	-14.955772	-111.200226	6.585422	3302.927235364914
34	794.2196	10.091848	810.59656	785.01666	897.4951	4.6919084	903.2687	885.8394	756.0665	281.4719	902.0508	118.06758	659.17395	354.95172	901.751	70.88162	1000.0	1000.0	846.6	746.0	135999	110.88304	26.777967	140.27751	-32.028297	110.88329	26.771734	137.06401	-42.353394	-2.2323096	2.535629	33.66202	-12.913731	-111.89681	6.0356727	3414.5275938510895
35	785.8247	6.8704953	793.90546	774.9442	897.6212	3.4008007	902.8149	892.4212	892.1304	5.2516646	900.3179	881.2223	893.3724	4.8190002	900.8247	885.5402	1000.0	1000.0	1000.0	1000.0	139999	111.4905	26.7042	143.57942	-66.4696	111.49092	26.69938	141.78883	-32.224823	-2.2174952	2.57482	29.20368	-13.282896	-112.50634	5.9299335	3530.7527987957
36	784.6804	11.495841	795.2799	765.34515	816.46735	215.94856	901.63055	169.67897	892.10333	16.551638	909.19104	854.1095	828.3929	191.74677	907.55475	253.63629	1000.0	924.1	1000.0	931.9	143999	112.24857	26.266193	148.63669	-40.455986	112.24933	26.260954	145.73155	-35.96233	-2.258539	2.4831836	31.289387	-12.854464	-113.24177	5.893114	3645.433457136154
37	636.6198	297.35867	792.50903	42.02879	751.99554	291.08063	905.0862	116.615036	649.64905	374.82825	904.49	55.687126	807.6995	252.95001	902.7802	49.203785	818.4	835.5	730.7	910.0	147999	112.63096	26.381374	148.63533	-35.815254	112.63167	26.377563	145.27632	-24.939484	-2.287093	2.4833624	29.237446	-12.805956	-113.61801	5.520204	3755.7802901268005
38	786.353	2.858295	790.7174	782.77	687.1626	305.67114	902.7829	193.13069	597.71356	371.02206	902.8711	85.39227	602.86194	363.2876	899.5415	65.353645	1000.0	789.9	685.7	696.8	151999	113.18506	26.15616	148.99826	-41.216038	113.1853	26.153217	147.603	-24.128242	-2.2980616	2.509717	34.96112	-12.774429	-114.15126	5.417124	3865.7130858898163
39	785.51544	9.28998	799.2163	773.36224	745.1688	307.14294	903.65936	100.95168	502.90878	390.93457	902.8703	93.15737	547.1165	371.49942	905.0549	98.22732	1000.0	841.0	580.6	640.0	155999	113.74784	25.863585	150.55103	-35.567856	113.74792	25.860779	149.15201	-23.870165	-2.3616652	2.4654746	30.385727	-11.867201	-114.714966	5.635416	3969.881264448166
40	786.3639	8.5708475	798.0958	774.3934	903.1092	8.616208	917.6035	892.4674	899.57434	5.9553475	915.0549	894.0223	902.84424	12.319973	924.9559	891.3261	1000.0	1000.0	1000.0	1000.0	159999	114.26834	25.643337	152.77751	-24.118742	114.26866	25.63675	150.63284	-26.642122	-2.3660336	2.483536	31.956104	-12.543923	-115.22729	5.329035	4087.6426079273224
41	794.17096	3.4025893	797.77893	789.3426	806.82605	232.4697	905.24677	126.68458	904.4916	6.6634536	923.6144	898.9984	894.83093	7.7716894	901.93665	872.9356	1000.0	904.7	1000.0	1000.0	163999	114.82805	25.28686	150.5771	-54.439247	114.82856	25.283175	148.91537	-37.653896	-2.3970597	2.4252608	32.56605	-12.893913	-115.75972	5.2887754	4202.28418469429
42	793.93097	6.065262	800.9438	785.6399	530.067	376.926	901.72186	44.62859	508.93823	384.3938	998.9041	50.04046	645.44525	308.937	938.2316	110.24513	1000.0	635.7	593.6	792.9	167999	115.09652	25.164345	155.29964	-36.988316	115.09651	25.162268	153.87155	-41.08681	-2.4008713	2.409406	28.751797	-12.992436	-116.03855	5.2441063	4304.058082818985
