Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-30.877567	7.4242783	-13.641941	-55.675083	1710.5514	61.24013	1793.6738	1588.6499	25.269674	5.2815866	32.16196	16.904654	1797.3127	93.23593	1889.6849	1590.828	1708.2517	39.89866	1790.5149	1685.7135	19.44878	1000.0	36.6	1000.0	1000.0	3999	6.9992156	6.3719115	28.843851	-12.47056	6.9991393	6.3729844	29.181177	-12.425809	-7.0642	3.195635	11.889833	-21.550642	-10.534015	1.3448482	99.7044198513031
2	-31.812382	7.2656717	-7.6036773	-53.249825	1711.7123	76.29653	1894.3905	1589.8563	-11.415083	4.4965873	-2.4941714	-17.96049	1739.6179	53.297356	1829.1571	1626.1356	1667.6934	76.04353	1784.1992	1579.0326	19.398058	1000.0	19.8	1000.0	1000.0	7999	26.118105	17.240128	80.59088	-36.025238	26.11889	17.239258	80.88104	-33.738003	-2.4109933	3.9282475	22.45932	-21.660654	-31.800762	3.2079585	211.81745767593384
3	-24.196756	15.885626	24.911268	-65.89478	1648.179	69.77963	1742.3958	1538.9586	-23.02785	6.2530537	-13.553518	-31.49072	1582.143	69.28893	1675.3324	1474.9082	1685.8392	64.172966	1829.5492	1633.3882	23.541666	1000.0	52.8	1000.0	1000.0	11999	62.357494	52.287155	230.68965	-43.344654	62.35783	52.287	229.84235	-44.954647	3.970018	6.314632	42.295803	-20.467422	-73.8108	22.902735	325.72129678726196
4	-10.813002	32.025387	41.84657	-133.87422	1784.7455	61.28487	1918.8193	1721.9716	-24.498363	22.936848	35.953392	-48.81043	1668.0508	66.76947	1721.4562	1514.8135	1769.6709	47.05812	1823.1837	1714.7021	55.424656	1000.0	46.6	1000.0	1000.0	15999	76.82998	53.633564	190.91466	-40.030594	76.831184	53.63446	188.82727	-41.81151	3.903581	5.8177285	42.57135	-20.731537	-85.0047	45.561157	437.55931329727173
5	-49.546814	310.12244	23.65572	-2971.108	1699.9426	84.394035	1856.2252	1548.0618	8.15434	18.43961	33.105797	-36.629818	1800.3489	48.41553	1854.3219	1747.8889	1673.9329	42.468826	1743.0192	1639.1748	44.622223	1000.0	66.4	1000.0	1000.0	19999	77.581955	111.55945	1954.5792	-92.68247	77.58748	111.55749	1924.1996	-125.43497	3.966298	7.181224	225.61293	-21.692421	-84.701256	182.9789	550.3788959980011
6	-38.705433	25.155518	24.280632	-115.23234	1660.4727	69.1146	1803.393	1582.7975	-55.377907	9.9821005	-39.73072	-67.56364	1646.9875	77.7209	1719.8346	1517.2927	1603.8854	80.40244	1712.4863	1467.6946	42.80645	1000.0	42.9	1000.0	1000.0	23999	88.83319	207.00616	4233.473	-107.6085	88.82876	207.01628	4234.926	-154.46916	6.9197063	9.046965	205.3757	-20.602762	-99.16121	342.74814	662.9544975757599
7	-49.141647	27.936401	6.719995	-145.56076	1663.8304	61.380337	1818.5188	1616.8435	-39.600563	9.284133	-30.108494	-65.76949	1583.9717	62.72797	1709.5605	1509.1245	1683.8337	82.81672	1831.6052	1609.7745	40.408165	1000.0	18.4	1000.0	1000.0	27999	117.19807	496.7769	11509.328	-169.03194	117.17323	496.74207	11517.418	-244.10313	12.002665	19.077984	466.1884	-21.829908	-132.34596	2064.752	775.3650460243225
8	-67.391716	25.004494	-18.990648	-136.12943	1658.1703	45.384666	1720.2701	1604.3188	-58.476326	15.569791	-43.011673	-93.04688	1634.2417	89.10238	1781.8007	1491.633	1627.6761	59.539185	1727.5387	1519.1204	34.31356	1000.0	62.8	1000.0	1000.0	31999	253.67212	1379.9803	34821.64	-160.95598	253.54608	1379.9706	34814.66	-175.70117	22.60802	25.373278	657.67523	-18.548866	-289.45816	16412.744	887.3451795578003
9	-111.15106	302.72787	2.359579	-2978.7534	1512.2639	41.973263	1577.8119	1469.7345	-96.82863	12.125436	-81.22936	-119.62331	1553.4174	73.66146	1676.2585	1472.9847	1532.0114	55.41506	1594.5597	1470.5667	43.336956	1000.0	32.6	1000.0	1000.0	35999	857.7293	3546.9238	53263.273	-528.7577	857.6333	3546.77	53180.746	-768.1072	42.37025	45.313972	886.313	-6.4728527	-952.58484	107316.445	997.6944828033447
10	-73.90877	32.90721	-2.8808668	-154.14906	1499.607	63.849136	1587.1096	1367.1328	-34.075867	24.116919	-3.823862	-77.21338	1566.188	99.21395	1722.7904	1394.0734	1489.1206	62.591797	1611.5842	1361.2131	44.78652	1000.0	50.3	1000.0	1000.0	39999	1847.0366	4808.116	75273.04	-1042.7943	1846.9624	4807.8457	75465.65	-1366.6931	68.56431	56.38516	1085.8651	0.21398163	-2045.5192	276744.47	1110.0337796211243
