Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	399.9405	176.95937	530.7972	96.5564	535.877	91.86903	685.24054	422.0862	487.80975	106.16955	690.3358	352.56577	159.49179	41.769104	232.23125	126.56544	487.78506	142.92783	690.4844	300.66663	805.0	1000.0	1000.0	1000.0	1000.0	3999	11.885922	6.0299225	29.055525	-0.025201041	11.885506	6.0307794	29.334488	-0.08127811	-5.3422823	0.62473	7.2323294	-11.440977	-12.972495	0.12710565	117.57838821411133
2	348.88184	203.4937	522.3347	5.523311	194.77841	50.69122	278.04318	98.37857	148.58585	40.360836	197.14793	93.584946	94.79134	7.155905	114.8478	87.30412	159.63564	52.74201	277.29074	96.81613	716.1667	1000.0	1000.0	1000.0	1000.0	7999	34.441418	7.0050735	72.43692	18.144115	34.441364	7.0079184	72.771576	9.3923	-5.071975	1.3505464	25.797754	-12.822545	-35.532166	0.8110929	245.1334729194641
3	385.82745	130.41882	503.8331	155.94077	370.4987	132.87889	560.1694	68.0724	469.34247	120.01784	686.2401	330.1741	99.43929	5.6226754	107.9876	90.68785	424.20526	170.87602	738.69525	236.35481	866.6	918.5	1000.0	1000.0	1000.0	11999	61.13902	20.93027	304.09644	21.063732	61.13884	20.933567	310.38412	6.6634345	-1.3997254	6.0093374	41.131187	-13.334035	-62.89415	7.8453383	371.66460704803467
4	293.476	162.96483	509.32324	3.8852	105.01265	192.85316	523.5265	5.2170925	149.96075	169.8107	377.66275	3.9978166	286.34424	39.637722	330.49573	217.91167	53.15621	129.87483	442.08325	3.8209915	804.0	228.7	426.7	1000.0	137.5	15999	96.93658	34.15076	351.72733	27.67033	96.93664	34.15395	342.58563	4.1897535	1.3904444	5.2213907	44.61487	-14.415581	-99.19151	16.518051	455.13545966148376
5	235.01726	187.87111	514.46716	8.469533	374.95874	79.23274	535.0889	273.94107	364.67444	60.725075	463.08398	269.75095	120.874306	32.749744	186.46526	99.9691	419.42325	86.270226	587.9035	295.29608	563.6667	1000.0	1000.0	1000.0	1000.0	19999	128.29218	40.952034	329.8262	38.223026	128.29185	40.95749	329.527	11.121134	1.322808	4.7979693	36.96422	-15.290704	-130.14441	21.9675	588.7786002159119
6	402.8186	50.52225	477.60843	343.20535	367.66013	78.877304	511.0613	187.07254	434.27573	94.55166	600.0437	336.5254	214.09995	37.727444	315.94345	172.87422	454.19598	77.06108	560.5739	311.25018	1000.0	1000.0	1000.0	1000.0	1000.0	23999	152.27528	34.649952	295.5207	42.515724	152.27483	34.661285	297.76654	13.625541	1.0116934	4.1515803	39.24695	-15.684147	-153.88503	20.138168	723.5694282054901
7	381.18372	17.465874	397.67194	354.91022	508.8527	109.39226	683.6354	287.67804	524.6033	66.07508	639.90753	418.9779	124.58745	2.9530847	127.740746	118.28077	472.6402	70.66435	563.8252	326.00272	1000.0	1000.0	1000.0	1000.0	1000.0	27999	158.95409	28.413355	278.8406	26.147522	158.95375	28.421366	280.4643	12.181122	-0.16797525	4.3831077	35.335754	-15.528278	-160.29666	15.824871	857.1531567573547
8	532.8254	36.943417	576.2852	492.16245	537.58044	141.45494	736.90533	356.47528	543.91046	143.77148	732.13776	284.7763	289.69434	64.92867	351.26788	149.76077	537.6606	117.832275	703.3732	326.2116	1000.0	1000.0	1000.0	918.0	1000.0	31999	156.38437	24.310673	276.87216	19.901684	156.38464	24.318022	275.97806	12.957037	-1.52614	3.781153	29.03349	-14.869043	-157.3848	13.631848	990.2738163471222
9	396.32565	217.13019	639.6702	25.405483	583.04834	108.52529	817.35974	444.25836	509.44098	139.02779	694.5997	154.90009	274.3299	88.10389	419.16644	153.26042	506.7453	104.073746	740.2803	363.55283	741.3333	1000.0	981.5	1000.0	1000.0	35999	152.83852	21.278175	259.7761	14.317389	152.83847	21.28194	260.59723	10.239647	-2.549718	3.1620493	31.62726	-13.804087	-153.71759	11.783213	1123.2611529827118
10	461.213	78.614334	539.38947	334.96378	424.03717	112.84876	636.45276	220.84929	416.242	75.98491	524.0441	277.70294	140.72806	34.444542	209.56213	111.155914	391.13046	72.102646	531.95404	310.34454	1000.0	1000.0	1000.0	1000.0	1000.0	39999	150.3821	19.059164	243.492	7.832544	150.38252	19.057611	240.43204	18.67052	-3.144959	2.778015	30.845854	-14.824549	-151.20207	11.3530655	1258.0006625652313
11	475.39526	94.18162	581.7424	366.3629	391.43774	33.992004	466.25	351.98593	394.1444	21.21396	424.05063	351.8768	135.45303	15.039159	164.43932	115.164215	397.7039	34.971054	474.16418	356.67493	1000.0	1000.0	1000.0	1000.0	1000.0	43999	148.09512	16.551353	213.39699	-4.6000924	148.0954	16.550318	210.8377	-1.1973077	-3.4530137	2.486	24.82213	-15.310532	-148.89441	9.677574	1392.3065156936646
12	534.06976	50.18229	578.26013	455.1834	699.9617	74.93281	847.086	601.0792	652.7708	113.40129	852.1317	524.39905	167.69194	40.26285	212.60977	104.17109	645.04315	77.29452	779.3144	524.5826	1000.0	1000.0	1000.0	981.6	1000.0	47999	144.20868	13.018962	199.4232	-2.6387675	144.209	13.016006	199.35289	1.9420488	-3.7432353	2.223898	24.574062	-14.7438755	-144.98984	9.011153	1540.0037784576416
13	406.62585	157.73463	540.2548	137.41783	638.04803	82.98438	753.4152	456.9064	659.14075	71.85417	819.25555	547.4474	108.711266	56.553654	209.65298	27.86745	578.4039	82.274254	655.64154	364.05505	829.0	1000.0	1000.0	660.2	1000.0	51999	140.92526	10.552565	182.33003	-15.949185	140.92543	10.543508	182.85536	3.5334852	-3.996183	2.061539	20.036184	-14.089358	-141.73727	6.9643974	1667.6616506576538
