Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	3.3867617	3.341474	12.027127	-5.4670715	10.041307	0.85333866	12.013384	8.9416485	10.400266	1.7381475	14.81774	8.506679	3.7549653	7.851488	13.21474	-9.386623	10.417955	0.92898405	11.730683	8.613195	17.612335	20.1	20.8	28.2	20.3	3999	5.854493	4.5910034	22.229572	-4.9271226	5.8542614	4.591592	22.060099	-4.52579	-2.6808414	1.4895481	4.734028	-12.936357	-6.961643	0.39041275	41.72127032279968
2	2.6785488	3.4470308	12.025115	-8.722629	122.7523	123.13935	339.37888	22.214857	319.29257	144.573	442.6411	34.41134	-12.242346	2.183376	-8.888364	-15.995868	255.3084	117.47815	370.56924	36.053947	17.33913	356.5	771.7	18.3	642.7	7999	14.301694	12.7939205	62.490234	-6.50704	14.302039	12.792855	61.463364	-7.2400875	-0.43056476	2.6356003	14.432901	-13.297655	-16.906624	1.0318	129.72617483139038
3	9.050431	29.328524	181.74387	-13.633031	191.603	82.08019	385.27017	104.14528	208.38	79.81699	364.57123	111.14443	-5.7624826	1.619481	-3.0219736	-7.821048	184.90222	138.50412	576.30115	95.3606	30.285715	330.9	363.1	17.3	322.2	11999	27.549715	29.289698	124.3811	-5.542904	27.55046	29.28835	130.98483	-6.728678	0.8509825	3.5622728	18.52443	-13.871824	-32.678173	5.217891	200.1109402179718
4	230.15482	147.52643	404.13974	58.033276	413.12885	123.34807	569.19556	254.09251	410.31137	161.34923	570.0945	56.73783	-5.890071	1.2132863	-3.8183491	-8.078747	383.49554	105.03901	569.8785	256.01212	382.22223	759.9	751.3	13.1	708.9	15999	45.647125	38.544308	117.52219	-7.6340537	45.64766	38.5431	118.457954	-7.577938	1.2747232	3.6909938	21.833164	-13.256107	-49.995872	11.407816	293.5824053287506
5	397.85632	175.6055	566.8508	106.30949	477.44458	158.08752	654.1823	152.67879	465.40375	209.73662	670.4783	91.95736	-3.998195	0.78736436	-3.1873007	-5.3200574	465.6189	213.6975	670.32324	97.92485	704.1667	811.6	775.0	14.8	771.9	19999	52.9094	37.569023	116.50752	-7.5281777	52.90984	37.568367	117.285	-8.958825	0.86999625	3.4069357	20.841455	-11.827148	-56.20559	8.5341215	389.389445066452
6	343.5972	156.91104	571.674	149.92744	267.31177	142.68916	587.9332	150.74745	443.90448	172.25127	624.33167	95.16512	-5.5226126	1.4377891	-2.716573	-7.5352707	422.57104	190.73967	615.8911	143.55376	632.5714	448.7	748.8	15.3	715.2	23999	56.36836	35.05669	113.27685	-7.2038083	56.36832	35.056572	114.02103	-9.40198	0.6288951	3.116791	19.803806	-14.207332	-58.878086	6.1992235	479.8919575214386
7	489.06497	60.39055	539.2082	389.85437	446.06793	222.99193	689.9931	106.61059	444.28516	182.14265	685.91907	109.25638	-3.9156506	0.9041446	-3.0169928	-6.340612	445.95392	176.9384	686.5054	164.96089	899.0	705.7	705.6	14.2	719.4	27999	59.25364	32.88335	105.75749	-6.9096785	59.25343	32.88344	106.340576	-7.572402	0.22412306	2.9844344	19.157251	-13.446753	-61.295197	5.4017305	573.6873965263367
8	411.95703	143.28181	591.4691	251.58267	588.858	97.72471	678.3021	310.86972	605.4986	157.73854	739.476	154.2486	-2.4590182	0.80923647	-0.9409568	-3.6846979	485.6626	221.8355	702.1625	77.87968	723.6	953.0	931.1	13.7	802.5	31999	61.8569	30.805	101.02245	-7.3778067	61.856716	30.805847	102.860085	-6.579098	-0.13587284	2.9068172	17.69608	-15.458921	-63.6035	4.7568946	676.3252582550049
9	359.02997	268.42374	621.4856	0.5430231	269.87177	121.45526	547.7158	106.71863	374.83118	172.07927	600.10065	91.6322	-3.2920518	0.5558313	-2.3276684	-4.486389	326.65128	139.08667	544.25464	99.065796	630.2857	460.5	631.9	14.0	549.5	35999	63.861385	29.260742	96.53849	-8.313735	63.861263	29.262156	97.5397	-9.168089	-0.33812445	2.8891637	19.562943	-13.850292	-65.46228	4.807998	760.0026454925537
10	442.62744	244.6784	648.4665	-1.3595452	390.3848	222.12314	611.156	93.40753	309.7279	221.97113	610.57623	75.123726	-4.1918783	1.2750856	-2.6136553	-6.756273	264.2122	230.05283	612.7778	65.92718	742.2	671.9	554.6	13.0	489.5	39999	65.45296	28.079712	95.4898	-9.0653305	65.45255	28.082706	95.7775	-9.589207	-0.60751194	2.850661	18.058552	-13.168597	-66.93139	4.702756	846.1485710144043
