Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	20.231756	3.3904057	38.677242	7.805792	30.101196	2.9583194	34.492073	24.983488	31.154806	6.7669563	45.12602	21.311985	19.787006	0.83440727	20.598684	17.790028	30.278955	3.149734	36.83163	26.063826	12.09697	37.5	37.5	6.9	37.6	3999	12.182094	7.7403355	30.382078	-3.602417	12.182325	7.740835	30.175646	-3.3453379	-0.43506718	1.2639383	4.388633	-12.75886	-13.350807	0.72570044	32.69930815696716
2	19.66368	3.1340806	36.992687	11.69942	40.137177	2.9472032	46.29105	35.425686	36.771233	4.2781405	43.347954	27.190783	31.35847	5.82609	40.63757	22.659931	40.642323	2.1852875	44.407486	36.43616	11.934328	32.9	31.1	37.4	33.4	7999	26.16482	14.124871	58.90427	-3.7372725	26.164986	14.125698	58.763985	-3.9688451	0.5445333	1.7575943	9.843272	-13.187528	-28.877844	1.266835	77.59471464157104
3	27.85951	16.03432	115.378975	11.244908	56.134663	4.413617	63.064568	50.176544	52.767784	4.758734	59.144245	43.701164	14.696152	0.5841225	15.445746	13.676784	53.95091	6.7559	64.98521	44.234943	18.895239	42.0	40.1	5.0	40.7	11999	46.932667	22.872437	106.91579	-8.471209	46.93317	22.877562	108.186005	-10.665274	1.2832061	2.0948954	12.034909	-10.92336	-51.736427	10.736127	119.83244895935059
4	75.87578	17.101444	151.27014	44.344326	230.52905	322.61862	875.68567	59.09345	151.65228	240.7855	873.51373	59.51825	10.678202	1.7722034	12.943126	7.6286683	70.69932	9.12097	84.23973	56.17733	55.929577	301.0	214.8	8.9	128.4	15999	59.754807	28.062775	93.846985	-14.735651	59.754646	28.069016	94.93984	-15.539287	1.3156445	2.119124	18.752699	-13.38209	-64.43218	7.223423	170.24050784111023
5	322.5829	259.5523	822.3521	51.429268	911.0119	3.0600646	916.106	906.90967	910.424	3.0913236	914.41766	905.2713	12.4095545	1.8461765	14.886348	9.560582	911.5773	3.9039967	919.5145	906.16766	364.63635	1000.0	1000.0	9.5	1000.0	19999	60.434734	28.711477	93.35581	-11.939436	60.43403	28.71639	93.15809	-19.561075	0.9445355	2.092749	14.802465	-10.831596	-64.11441	5.085961	257.77077078819275
6	254.55441	131.23758	632.3668	79.64251	909.8835	2.8750985	913.55884	904.5577	910.4496	1.483465	912.7559	908.0369	12.817723	1.1884441	15.426009	11.042205	909.88605	1.9746497	913.07776	906.6211	268.07144	1000.0	1000.0	9.8	1000.0	23999	62.968136	26.987822	91.971405	-13.170938	62.967926	26.990114	92.16733	-15.164329	0.5611466	2.1390226	13.131218	-11.716375	-66.04069	4.323255	343.75071907043457
7	228.14182	98.20591	438.9843	128.2132	918.994	1.2792596	921.0278	917.44775	919.0619	2.367713	922.27313	914.6626	11.84712	1.9204968	14.546375	8.3345	918.5322	2.5819821	921.65924	914.33673	211.75	1000.0	1000.0	8.8	1000.0	27999	64.210144	26.124916	93.98133	-13.1036215	64.21015	26.125824	94.01102	-19.96515	0.46851242	2.0124488	21.32242	-14.27845	-66.85853	4.785156	431.43620777130127
8	222.69794	46.06505	356.7192	155.72673	917.35974	1.7960323	919.7771	913.2903	917.0851	3.1323767	922.45605	911.86316	14.886742	1.1003525	17.140347	12.88917	916.1893	1.5947875	918.81964	913.4955	192.61905	1000.0	1000.0	9.1	1000.0	31999	64.63116	25.735477	96.46763	-14.785467	64.63154	25.734222	96.07324	-24.844364	0.41799694	1.942016	12.71031	-13.419997	-66.95778	4.463421	522.1730310916901
9	269.92548	110.94087	551.5955	167.7145	914.1458	2.6670208	918.3386	909.69226	913.6711	2.8308804	918.73975	908.32245	14.743708	1.0472299	16.23349	12.43938	911.02844	2.7571468	914.9739	906.0163	261.07144	1000.0	1000.0	9.6	1000.0	35999	65.49441	25.078228	99.0958	-19.03667	65.49476	25.0782	99.10166	-27.095676	0.32556808	1.8768435	13.830705	-10.272959	-67.61205	4.179488	610.3010852336884
10	544.8941	206.68594	806.89404	203.72896	915.88367	1.3451313	918.1159	913.9432	915.5449	2.4717188	919.65686	910.0466	14.369754	1.321381	16.370163	12.023806	914.8701	2.120842	918.9386	911.1936	630.6667	1000.0	1000.0	9.8	1000.0	39999	66.348724	24.531885	99.49315	-19.68491	66.34878	24.531273	99.88766	-26.570488	0.2260181	1.8557861	14.647948	-11.578949	-68.257126	3.4077978	697.5198087692261
