Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	197.99664	183.50899	515.47455	5.2196507	22.38688	22.383837	75.68811	5.0820384	116.112015	203.38956	566.58276	5.063526	274.48242	60.72409	340.43472	194.36494	14.47646	22.029514	80.35401	5.192717	418.0	56.3	232.5	1000.0	39.7	3999	11.420333	5.7942715	25.155863	-3.5385845	11.420015	5.79588	25.013851	-3.6714804	-5.2290583	0.95198107	12.129885	-12.624689	-12.496243	0.38805875	73.742807388302	192	364.6827	155.09804	514.74506	82.153984	206.11494	73.24343	320.68875	49.06141	226.57968	63.63245	341.42465	151.93184	139.32423	17.800812	192.21725	129.09175	177.6793	87.8918	359.4569	18.97768	742.0	884.2	1000.0	1000.0	746.1	7999	33.00429	6.8040433	66.55226	-7.177346	33.004154	6.800959	65.75208	-4.851718	-4.48546	2.1604853	27.029593	-15.669195	-34.099075	2.4734757	221.05900144577026
3	375.50223	187.90848	531.6926	100.971535	279.6484	83.02395	455.27084	206.88014	286.29547	83.83848	411.9093	123.11001	43.94998	81.22277	215.75568	-8.051299	280.32553	58.229595	344.3557	148.66241	748.8333	1000.0	1000.0	296.8	1000.0	11999	55.310295	9.1376915	129.34708	-15.376619	55.3103	9.116641	131.5945	-6.116668	-3.484866	2.9703598	28.545763	-14.24526	-56.522064	4.8120637	365.1544420719147
4	113.85017	191.7519	520.5693	4.297613	4.1822195	0.5781589	5.319214	3.0792367	126.09198	252.6211	763.65814	3.7899282	167.39243	28.691582	225.61705	132.26447	84.75708	163.94926	473.6074	3.1893327	256.0	21.4	216.8	1000.0	217.2	15999	74.93111	14.052906	162.90636	-25.502522	74.93124	14.03283	167.31778	-9.2589445	-3.3874931	2.7289183	31.95077	-13.669391	-75.99177	8.984232	461.72462797164917
5	385.03433	121.997284	491.92053	156.27011	298.80362	35.961605	405.6744	275.18362	301.93628	19.428175	349.66144	280.21097	298.75006	149.15286	423.62964	3.5255466	310.49854	18.580214	356.58862	292.8598	884.2	1000.0	1000.0	833.8	1000.0	19999	90.01386	14.080741	183.14708	-33.983894	90.0143	14.049759	173.26387	-9.139967	-2.221889	3.4004757	33.206215	-15.075273	-91.178085	11.955487	613.6644990444183
6	486.9591	66.78935	573.629	396.7636	494.43448	63.37489	581.292	389.24857	484.6461	54.784027	573.2061	369.37247	244.70947	77.1902	325.51785	134.01671	523.35944	83.55862	679.90247	381.1039	1000.0	1000.0	1000.0	1000.0	1000.0	23999	107.04216	17.145914	182.96196	-50.17574	107.04185	17.108364	183.93651	-11.766954	-2.1130424	3.5660949	29.466564	-15.516134	-108.16888	11.665791	774.0283887386322
7	352.02838	90.598854	469.25604	214.60422	326.15277	26.164715	370.34244	283.0482	333.5935	26.078175	380.56003	303.0293	330.54272	13.193688	341.26666	293.6195	320.7741	19.748098	347.6778	282.77222	845.0	1000.0	1000.0	1000.0	1000.0	27999	115.24385	15.550403	180.56906	-54.39292	115.24372	15.507955	183.14212	-15.221718	-2.8564394	3.0452502	26.150454	-14.425693	-116.14498	10.509366	935.4656381607056
8	491.56665	29.688433	536.6488	462.69592	401.77676	121.68866	584.7024	258.8729	414.59113	86.31022	566.48987	272.47757	284.06265	38.13134	325.2836	210.00745	354.08868	141.59776	487.86572	-17.235058	1000.0	1000.0	1000.0	1000.0	910.9	31999	119.55919	12.472899	172.81815	-50.3881	119.55889	12.399189	176.30095	-18.82404	-3.1648057	2.7895346	28.418028	-15.1264925	-120.46103	10.499778	1097.0228180885315
9	469.47217	95.82385	543.7663	309.13773	4.567389	0.65918535	5.51398	3.4281135	182.36435	220.26973	515.40436	4.6491113	388.12424	52.122787	428.66287	265.12286	4.8064013	0.46894872	5.370608	3.7014673	1000.0	20.1	412.0	1000.0	20.0	35999	121.91545	9.890905	169.73761	-46.480385	121.9158	9.829198	172.85774	-20.3001	-3.4701838	2.5859032	24.966286	-13.287883	-122.763855	8.483127	1189.3586251735687
10	232.2902	234.20724	611.47797	4.539293	555.632	50.668625	678.01764	484.60696	558.65607	85.446175	790.78284	480.5048	226.44736	85.646515	347.7534	17.146194	571.0379	103.44237	822.76697	452.35666	516.125	1000.0	1000.0	910.3	1000.0	39999	123.50265	8.651975	162.90318	-47.65881	123.50236	8.588489	167.01733	-19.036047	-3.8443875	2.0564532	25.633366	-14.61013	-124.32303	9.2212305	1341.064924955368
11	523.1578	44.627964	588.0931	469.70688	573.0582	81.21376	698.2576	446.6909	570.2125	95.16258	785.304	493.91693	270.89975	39.042267	347.9712	229.2905	560.9933	74.6343	721.55286	432.86267	1000.0	1000.0	1000.0	1000.0	1000.0	43999	123.83387	6.362052	149.1567	-46.06652	123.83427	6.285472	151.57181	-25.809916	-4.068202	1.9483721	23.18433	-14.83592	-124.649	7.6210127	1495.16552400589
12	450.7578	213.27644	640.83154	41.874825	620.51495	54.8083	738.254	539.674	614.9441	60.2074	780.9336	532.5225	141.01161	31.350739	234.31883	124.2502	655.2806	53.770226	763.6104	587.0279	822.6	1000.0	1000.0	1000.0	1000.0	47999	124.14773	5.5297194	146.36304	-54.735985	124.14757	5.4525433	144.0295	-39.201794	-4.1865997	1.8283758	20.74229	-13.39184	-124.95364	6.1930685	1647.090637922287
13	489.1518	52.67482	546.01184	421.773	448.34912	29.33873	496.99335	409.10892	470.11554	39.385365	567.88165	415.90903	360.15213	54.919926	427.93427	262.87378	461.51596	20.112204	495.44382	435.90472	1000.0	962.3	1000.0	1000.0	1000.0	51999	124.86472	5.519263	140.48804	-69.76884	124.86463	5.499508	140.45602	-41.722725	-4.360295	1.677141	18.162682	-12.858959	-125.68469	6.3301997	1809.590977191925
14	494.98108	35.313183	534.38184	437.9857	531.54407	184.01027	733.8392	186.55615	588.63855	91.36632	784.56696	473.97498	294.21283	55.75799	362.02554	204.99458	545.3405	201.57332	787.3093	65.79827	1000.0	824.1	975.3	1000.0	844.3	55999	125.90421	5.381556	141.58922	-64.22733	125.90391	5.3671603	141.43588	-40.796406	-4.4531665	1.6103917	21.833183	-13.91469	-126.74101	5.0576506	1954.3395040035248
15	512.4844	24.38296	552.10266	488.72522	448.4767	22.76019	493.17596	411.12415	454.55087	42.871193	558.44714	392.53082	238.1748	39.28501	326.59988	153.08424	458.10562	21.479395	503.49432	423.0661	1000.0	1000.0	1000.0	1000.0	1000.0	59999	127.26912	5.3671694	142.07916	-58.897022	127.26882	5.3379083	142.75523	-55.771904	-4.6320605	1.4884614	24.248043	-13.085403	-128.10179	4.4767766	2113.205469608307
16	426.95816	185.86278	604.38226	87.33073	595.4393	45.73926	697.02606	518.4006	605.67615	37.084625	682.9977	548.85	248.24057	102.38591	400.67212	7.540843	608.6115	46.28288	694.1794	521.7559	772.1667	1000.0	1000.0	915.6	1000.0	63999	128.54213	5.341201	143.86174	-67.24772	128.54211	5.3337517	144.60887	-36.732224	-4.677818	1.5012137	23.328463	-12.815531	-129.39622	4.677031	2267.609087705612
17	377.26068	153.63962	568.44507	126.85156	518.07074	82.81206	694.51	396.32242	515.51764	58.18539	578.71545	408.70023	9.401557	8.514888	25.362795	-2.1681237	511.84576	57.70793	615.8957	395.00024	741.0	1000.0	1000.0	94.7	1000.0	67999	129.75803	5.4047437	144.80534	-80.57081	129.7584	5.379015	146.38388	-59.280804	-4.742686	1.4247962	24.940905	-12.895058	-130.60405	5.790955	2412.275369167328
18	335.53482	187.14815	549.1844	123.719734	456.12103	207.7329	632.1557	103.66304	469.64325	173.93222	644.6894	57.49509	20.345255	12.651384	38.397167	1.9854313	432.4357	205.65834	643.1536	41.614	612.5714	770.1	863.3	129.4	749.4	71999	130.67786	5.5787063	147.75557	-81.08176	130.67776	5.567683	148.70628	-51.231888	-4.696922	1.4433389	29.080334	-13.356009	-131.5235	6.7231517	2539.9850075244904
19	445.9348	115.266	574.1475	274.59573	553.6842	25.28934	587.447	507.22006	553.43726	41.815655	599.73004	446.18857	137.24356	106.2581	319.79407	13.147696	558.3752	31.258709	640.4491	529.98315	798.8	1000.0	1000.0	618.9	1000.0	75999	131.49261	5.902199	148.03378	-57.847633	131.49252	5.8888164	148.73479	-62.89416	-4.709729	1.4443548	33.564754	-12.965407	-132.33553	6.8950167	2691.002542257309
20	549.6958	18.08954	573.3133	530.2149	603.09534	49.41073	699.92053	534.7313	582.78534	70.10041	711.8437	466.81848	342.0157	54.485794	441.6595	266.7996	629.05945	60.78893	707.43304	537.4425	1000.0	1000.0	1000.0	1000.0	1000.0	79999	132.21779	6.094172	149.64154	-56.014664	132.21754	6.1066628	149.61131	-68.442726	-4.729107	1.4045861	29.180239	-15.11781	-133.0616	7.1294165	2846.0208473205566
21	491.13928	87.78925	550.23737	339.4124	568.4745	19.242922	591.36475	527.6773	576.84467	52.126163	694.27435	506.4254	285.84012	89.85714	382.6623	156.45929	576.41223	46.048115	689.611	516.80695	906.25	1000.0	1000.0	1000.0	1000.0	83999	132.87057	6.3235044	147.07753	-71.20157	132.87183	6.3512616	147.18857	-61.733356	-4.7492027	1.3576938	21.955748	-14.477038	-133.70078	6.1560783	3001.041506290436
22	577.3398	48.843758	660.72736	538.2801	636.0714	36.852985	699.7761	590.79114	633.69635	86.17014	762.45953	464.40256	481.6186	134.86307	593.62067	242.66122	656.3419	61.33576	786.4351	571.5555	1000.0	1000.0	1000.0	1000.0	1000.0	87999	133.50368	6.5486093	153.41342	-87.29646	133.50304	6.545601	154.34062	-72.025215	-4.8124666	1.3150362	21.034985	-15.584687	-134.33969	5.9669065	3159.8849954605103
23	574.6901	34.932346	630.2771	538.64514	664.91986	80.39328	810.0146	585.5594	671.63934	90.53273	802.4867	525.06586	137.4262	106.5793	330.53946	-2.0673454	668.1675	64.926636	784.724	584.4334	1000.0	1000.0	1000.0	712.5	1000.0	91999	134.22159	6.7667747	155.42912	-73.13669	134.2222	6.757829	157.1218	-89.0053	-4.7876396	1.3352109	32.971237	-13.89159	-135.06035	6.393853	3314.257520675659
24	486.28183	130.83713	631.1171	240.74976	707.4354	102.110855	846.4409	565.90967	684.36096	91.20167	797.9497	547.8891	87.948586	167.07068	585.8217	9.728481	731.38245	63.173958	796.57184	584.0805	881.0	1000.0	1000.0	214.2	1000.0	95999	134.88264	6.6601133	155.47438	-66.058266	134.88292	6.666682	154.81194	-73.76862	-4.794655	1.3375666	24.89397	-13.867171	-135.71881	6.143227	3458.9027938842773
25	616.4315	61.053	684.9859	528.83405	559.6295	65.29622	626.5793	420.57532	550.9254	41.327286	598.79724	440.55954	210.08855	116.44926	360.73532	7.5216784	595.5702	22.060265	632.3637	553.8268	1000.0	1000.0	1000.0	826.5	1000.0	99999	135.52121	6.7731657	155.49135	-86.630035	135.52138	6.7509856	156.22142	-58.197716	-4.8382382	1.3015711	28.408697	-14.39226	-136.36752	5.381987	3610.9543633461
26	592.96643	65.13044	655.8135	484.2725	548.5007	80.47821	708.63214	455.0452	616.2565	118.81211	787.0828	423.6176	278.55768	143.10834	442.06445	4.1995506	586.27405	125.81506	772.8677	447.6382	1000.0	1000.0	1000.0	810.1	1000.0	103999	136.1504	6.891561	155.56464	-64.488525	136.15045	6.879591	154.44664	-78.015144	-4.8434267	1.2911576	31.008099	-13.069187	-136.98091	6.4095917	3764.310516357422
27	528.5667	88.78951	646.33	396.27942	468.0876	92.61751	700.87415	359.73462	480.61792	41.644646	537.26025	398.51666	383.59308	36.228622	431.44418	287.9076	490.7248	84.89048	634.2447	367.58078	1000.0	1000.0	1000.0	1000.0	1000.0	107999	136.5373	7.0170107	156.34982	-59.495888	136.53786	6.981954	156.11668	-60.64081	-4.819775	1.3308547	34.945564	-13.634035	-137.3861	5.3444533	3918.9418470859528
28	574.874	58.356285	670.6617	518.34534	624.7312	85.19567	801.9514	532.1	677.56995	95.355774	803.2327	523.12103	217.32881	51.019806	297.87396	123.9863	628.62866	83.965485	764.53906	506.92245	1000.0	1000.0	1000.0	1000.0	1000.0	111999	137.21158	6.9679747	157.10072	-75.94147	137.21167	6.965095	157.36057	-66.93906	-4.855271	1.3130895	35.98535	-12.641908	-138.06956	4.836903	4074.122395515442
29	483.65802	74.840675	538.4902	356.55606	657.6498	68.17828	739.5267	525.7453	677.77893	73.47068	761.78204	530.45844	267.28207	122.36618	439.72504	97.44808	694.08075	27.010162	774.18665	680.1614	1000.0	1000.0	1000.0	664.4	1000.0	115999	137.83224	7.0135703	156.91022	-69.21762	137.83246	6.998911	156.84305	-60.8081	-4.8724146	1.2659642	26.632164	-13.915552	-138.67538	5.274595	4224.440189361572
30	557.5707	35.108173	611.43616	513.3002	562.0918	141.1815	855.9766	395.84668	543.0297	87.843285	671.31915	400.79654	319.55396	66.71377	439.3184	194.51547	566.5646	77.282166	772.8459	481.04672	1000.0	1000.0	1000.0	1000.0	1000.0	119999	138.18732	7.2271204	157.21774	-44.289486	138.18616	7.2156134	158.16872	-78.31045	-4.867203	1.2534244	28.535753	-13.008272	-139.03485	4.7942877	4375.486197948456
31	568.034	138.16719	672.7588	330.47897	513.96814	29.301573	559.66327	488.5341	535.54034	29.29107	589.4606	492.23282	114.41028	84.87682	243.68135	42.265015	532.99133	29.686361	586.5762	491.49466	1000.0	1000.0	1000.0	395.8	1000.0	123999	138.69914	7.274051	157.5666	-72.99806	138.69785	7.243803	156.75783	-86.36298	-4.890185	1.2244326	21.79424	-13.485166	-139.53656	4.5294843	4518.5368320941925
32	561.9069	36.011963	609.226	510.0504	478.46548	54.20119	575.6448	400.9692	511.2919	85.73457	678.3768	398.6209	346.28958	46.325214	377.31992	215.31459	458.22324	44.569214	526.7464	400.82123	1000.0	1000.0	1000.0	969.1	1000.0	127999	139.10806	7.4361143	154.92682	-59.085278	139.10905	7.434872	154.83694	-78.30852	-4.8638573	1.2420803	32.226685	-12.494153	-139.94609	4.5471582	4672.097021818161
33	561.09204	54.3059	641.46344	496.6038	534.9918	40.370438	638.9947	505.52994	545.66205	58.96077	690.58514	490.80936	356.00427	16.620369	393.31354	341.45877	530.16296	42.51223	630.24615	483.61118	1000.0	1000.0	1000.0	1000.0	1000.0	131999	139.52277	7.5900297	154.82259	-70.80946	139.5212	7.562255	155.54944	-62.225246	-4.888988	1.2235999	29.797194	-13.44578	-140.35757	4.3147297	4824.062632083893
