Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	20.208237	3.431227	35.659775	9.254008	20.036657	12.147039	51.455757	4.7952414	15.659792	3.1631	21.449078	10.83587	13.979273	1.9789577	17.760536	10.173158	17.759369	3.7678866	24.158947	12.824961	11.958084	19.2	17.4	5.5	18.5	3999	8.651177	5.74573	23.578018	-3.80266	8.650751	5.7464633	23.89066	-3.672029	-10.113467	0.7257615	32.54693531990051
2	19.873863	3.039088	31.179565	12.145179	25.506153	9.63039	44.462784	13.541254	25.650341	10.434611	45.579334	9.799884	13.454704	1.9982647	16.263393	10.9881935	25.315123	13.82631	62.44274	12.558284	11.77647	36.2	26.0	5.5	24.9	7999	17.134438	8.95875	36.4983	-3.7517252	17.134562	8.9597435	37.138145	-3.6022265	-18.893406	0.51629543	76.50212597846985
3	30.961157	36.495358	407.41403	12.052313	23.946264	10.597122	46.258747	13.733336	22.118746	6.452419	33.919483	14.3381815	16.1611	1.0266075	18.001413	13.806553	17.246805	3.7188294	26.039701	11.946217	20.290817	26.2	22.4	6.2	14.3	11999	25.646143	12.486067	47.69237	-4.5483446	25.646145	12.487006	47.75082	-4.3518343	-28.544786	2.5698109	119.42014360427856
4	108.77582	115.25418	887.611	67.41058	21.094357	7.596144	34.12326	11.87638	26.916788	13.68899	55.299965	14.057128	15.372698	1.8753172	17.78022	10.67672	17.948246	3.9522479	27.315657	14.148823	81.32653	18.6	28.6	5.6	16.2	15999	34.702324	14.693149	56.537613	-11.182166	34.70315	14.690687	56.768314	-7.881515	-37.726845	4.175348	162.96664452552795
5	95.745476	8.599904	115.46548	69.77133	24.187183	12.407419	54.000587	13.826953	25.310078	11.283966	44.232754	12.811077	17.502155	1.1007311	19.638811	15.260895	26.466864	13.681915	48.47246	9.820121	61.276924	25.3	26.7	6.1	27.7	19999	40.876984	17.189821	64.258385	-16.74415	40.877155	17.191595	64.61857	-9.813556	-43.736313	3.138291	206.96129393577576
6	106.89219	10.842658	133.13472	86.76616	25.658762	8.209868	36.99845	17.02843	21.432758	9.776378	49.56956	14.53045	15.894884	1.3244623	18.933443	13.47819	22.896936	9.729573	44.978878	13.722261	65.31148	35.7	17.4	6.3	19.9	23999	46.1405	19.888239	71.322914	-15.183272	46.139996	19.891222	71.53337	-11.155311	-49.087734	3.4408002	252.48041701316833
7	116.21635	10.137259	135.1699	86.81073	22.416943	9.483174	49.47217	15.763687	30.275593	17.375828	64.97885	11.636624	15.030561	2.1344078	17.555307	9.672204	16.596348	3.5904973	21.107416	8.694192	66.37705	24.5	33.3	5.6	12.8	27999	50.459984	21.894695	79.22207	-15.331227	50.459846	21.895779	79.544556	-14.931009	-53.41341	4.0561395	296.9152431488037
8	107.54307	17.837868	152.37726	68.61646	17.998486	8.2434025	41.485474	11.684507	17.583225	3.0178308	23.527548	14.538014	14.664586	0.9592976	16.111822	12.469021	18.221302	3.0924945	23.668413	12.232884	67.71186	15.6	11.2	6.4	15.2	31999	53.68976	23.21956	84.345726	-24.482647	53.68995	23.220469	85.21513	-19.410246	-56.49322	4.4757724	340.42579221725464
9	172.8759	150.1288	947.80585	114.800095	15.618902	2.007422	20.35047	12.321457	17.832186	5.30946	31.228361	10.632608	13.664978	1.6723831	15.842626	10.586808	20.502687	5.8992257	30.600845	14.411373	124.39286	12.2	13.3	6.3	20.9	35999	56.30837	24.509447	89.085045	-20.398046	56.307964	24.511095	89.407036	-18.96634	-59.10441	5.008075	384.6100685596466
10	494.6939	321.78265	917.554	75.874886	17.648254	2.6075766	22.712086	12.333711	26.821777	22.227215	91.72143	13.441402	14.90029	1.5191574	17.674213	12.775616	20.047766	6.2213974	34.001034	12.7799	511.42856	16.4	26.0	6.4	19.7	39999	59.228554	23.986631	91.41804	-22.369036	59.228706	23.987436	91.354904	-27.595335	-61.832546	5.3462687	429.09139490127563
